"03D_BEAS-2B_3"	"10D_IMR-90_3"	"60D_WI-38_3"	"23D_NCI-H1666_3"	"50D_NCI-H3122_3"	"14D_NCI-H1435_3"	"26D_NCI-H1734_3"	"07D_HCC2935_3"	"28D_NCI-H1781_3"	"05D_Calu3_3"	"48D_NCI-H2405_3"	"46D_NCI-H2342_3"	"49D_NCI-H292_2"	"57D_PC9_3"	"17D_NCI-H1568_3"	"24D_NCI-H1693_3"	"39D_NCI-H2085_3"	"08D_HCC4006_3"	"21D_NCI-H1650_3"	"34D_NCI-H1993_3"	"38D_NCI-H2073_3"	"44D_NCI-H2291_3"	"12D_NCI-H1373_3"	"35D_NCI-H2009_3"	"09D_HCC827_3"	"33D_NCI-H1975_3"	"55D_NCI-H820_3"	"31D_NCI-H1838_3"	"47D_NCI-H2347_3"	"51D_NCI-H441_3"	"20D_NCI-H1648_3"	"40D_NCI-H2087_3"	"19D_NCI-H1623_3"	"42D_NCI-H2126_3"	"18D_NCI-H1573_3"	"15D_NCI-H1437_3"	"41D_NCI-H2122_3"	"32D_NCI-H1944_3"	"36D_NCI-H2023_3"	"30D_NCI-H1793_3"	"43D_NCI-H2228_3"	"16D_NCI-H1563_3"	"59D_SK-LU-1_3"	"37D_NCI-H2030_3"	"56D_NCI-H838_3"	"04D_Calu1_2"	"58D_RERF-LC-MS_3"	"27D_NCI-H1755_3"	"29D_NCI-H1792_3"	"02D_A549_3"	"22D_NCI-H1651_3"	"13D_NCI-H1395_3"	"54D_NCI-H522_3"	"45D_NCI-H23_3"	"11D_NCI-H1299_3"	"25D_NCI-H1703_2"	"01D_A427_3"	"06D_Calu6_3"	"52D_NCI-H460_2"	"53D_NCI-H520_2"
"ENSG00000142657.20"	1.73391329746297	1.92605770317841	2.02509333450367	1.59175663328582	1.8204285265536	2.46593549467154	1.80714479890039	1.89011205204053	1.8117931142238	1.90377979510034	2.06732437381485	2.37283100148648	1.56116709723274	2.11345482140716	1.50614610573276	1.89604455758818	1.74996509234703	1.85726058596518	1.66758661878145	2.0301504552836	2.0720415666804	1.51175750215707	2.19043093807809	2.08779499954706	1.597107330814	1.54629357705976	1.97728810562528	1.69765427060073	1.81202825973311	1.72136094947498	2.27372669975683	1.80104470549063	2.50100441657649	1.93925351565887	2.9856292077891	2.63875733608115	2.77364255797665	2.66155280987754	3.04146029822299	2.53224123422717	2.51238584913472	1.80394247426557	2.45598480903124	1.93517060480526	2.41352646933077	1.72576857551082	2.14444592180839	2.63459769421736	2.17723541492181	2.82893721073301	2.18219407135383	1.75037523152323	2.04069595979353	1.52199432079002	1.77044963869972	1.90400309535665	1.81841740368224	1.90027783481708	2.56928841253038	2.2840355365003
"ENSG00000198363.17"	2.02493960859688	2.28785698116562	2.32602459901952	2.13818220211447	2.27886763572646	2.57183884543841	2.06410102978212	1.57637492633163	1.64678641984935	1.80400021804276	2.27568159713045	1.89024729545489	1.56405200034422	2.09714399555995	2.22974453186101	1.59258981262982	1.90080563850939	1.94896885803562	2.01554701209979	2.54250733414713	2.33038297574491	2.24221048912995	2.66631687365081	2.39852493070148	2.62926722349197	1.97420285595122	2.30755249471896	2.53502030170975	2.35696975521395	2.419371503274	2.63036240254798	2.61767609462749	2.65512754797867	1.74194106768431	2.5828349656442	2.85347902531304	2.76151341844403	2.85358086331602	2.70391997312018	2.46634290957086	2.80400812491085	2.4230922589475	2.12676343258704	2.27477744496872	2.00857340935702	1.85728161090894	2.40323714091619	2.47776250470684	2.15042907728578	2.43833464108018	2.02195221947592	2.05903895629336	1.23752699525883	1.44271540780414	1.86496916898235	1.77533216173547	2.07764800310816	2.29970798012989	2.54626121230323	1.56786135052636
"ENSG00000130066.16"	1.77621601237045	1.59738073587193	1.50663877955547	2.47228067617934	2.62970231170832	2.38398268316668	3.01517533590313	2.80158788801641	2.38455468084155	2.32384221433751	2.44959523832661	1.73071823141993	2.54121429261528	1.4636982407041	1.9980265766109	1.43661408468968	1.19866800683818	2.16533463785524	2.14622984217846	2.21960389319431	1.84463502852166	2.54678861446099	2.01778077229301	1.74462180782005	2.00394224240084	1.93118481625355	2.00301976808936	1.74469796181799	2.32931801477444	1.89316091567925	2.35100194001126	1.87367628823851	1.74135270708865	2.53547048204858	2.84265165052433	2.40551485232262	2.4503162941033	2.14596991202441	1.82807626958814	2.11001867736453	2.35619283670663	2.35081549632877	2.19592906235649	2.43801047030872	2.0440553065104	1.59074044297304	2.19058457396118	1.59436900583103	2.07048656260266	2.3030771268511	2.08461001686883	2.0623708229616	1.76472017420667	2.49467863537581	1.32963655832632	1.7743710746142	2.5931594018417	1.84286949919925	2.13191647074019	2.61310375630061
"ENSG00000252835.1"	1.79584364010095	2.14562740488442	2.15940176845969	2.24094333636551	2.31593057366231	2.36056587227339	2.1136844662711	2.60444206105812	2.56971484520446	2.29124774477929	2.21049349189911	3.12651173920168	2.06060872594562	2.04439847000607	2.48218298374791	2.49427196161209	2.38532192273192	2.23358941553957	2.56016914440439	2.29294172000528	2.0377508864496	2.30434186939456	1.80708654948923	2.18359403446274	2.51619582620217	2.1398371927115	2.19782546636447	2.19518707303593	2.0648918721182	2.02567113319253	2.59563255140437	2.35982868237143	2.43534457787619	2.62145523679922	2.3454243259615	2.19939137119524	2.37264716496917	2.34286130909077	2.17907035466168	2.27909319713948	2.08645960637874	2.39575563402006	2.22396155025346	1.90115077753211	2.24015808195742	1.78909142746651	2.39929972012613	2.21975469750524	2.01875457214391	2.27167020506547	2.76689970954132	1.97598585883723	2.02082132775284	2.36742579520356	2.11428851654382	2.36943490606505	1.91699857779015	2.28964442982646	2.14099528734475	1.25414676973388
"ENSG00000197747.8"	1.80348719960386	1.81682781000149	1.74234316603035	2.32495774688757	2.84601889421347	2.4349521703351	2.37846170390545	2.43465032775354	2.17498494764159	2.3510418696005	2.4619057920865	2.62905366533055	1.92570245974522	2.19459727748599	2.76717211722106	2.18208575404371	2.66387480812852	2.28959791869998	2.51495065517165	2.22949360792725	2.3906229930158	2.51885895136099	2.4403611167423	2.68633730801634	2.24786444551046	2.30750716467053	2.03703606756269	2.39155673493517	2.44035671237569	2.43694552248667	2.11990817037974	2.28183266588621	2.51235800871777	2.62869722105142	2.50589091450072	2.57295066764058	1.97160185873417	2.1332898367055	2.20367319775391	2.33532572931267	2.6457226679308	2.01906011742157	1.73291860901589	2.10058405007463	2.20112351913569	2.13790831580439	2.22618826918448	2.04876866422132	2.01212618009163	2.39100856192864	2.72232677167299	2.06239267109346	2.10090113334533	2.29483584686102	1.8381844453177	2.17015901031758	1.93352122102675	2.22107470556306	2.10440618541767	0.821906833074761
"ENSG00000284031.1"	2.20188879414794	2.30054738739508	2.30149036699352	2.35162866780113	2.5164208909442	2.79147249920659	1.96487664525365	2.5208057732714	2.41123014629285	2.34716651320581	1.91312520083288	2.81636527220101	1.76843167483718	2.29431481264636	2.58571974918891	3.36073850223785	2.53407768388844	2.34219682335767	2.35587943790973	2.3678593544597	2.09946493388991	2.24396083078646	1.8610796833833	2.61933651751052	2.14085818609918	1.97599945526483	2.08443053762365	2.0130672908325	2.18208898660916	2.32554733476883	2.42473312591998	2.20356507062378	2.58342474968027	2.67316018951687	2.74960259982077	2.59946718245395	2.4344532381645	2.16350335349857	2.19313374357908	1.92732446235064	1.89217391956381	2.23683887413699	1.89883961557793	2.20851123490597	1.36135733655269	2.02629682723585	1.88509216645055	2.41599728892619	2.01716177541435	2.01637353317034	2.37775910980695	2.15325739387075	2.0635681064334	2.01413813403816	2.03107631046169	2.12675280093726	1.72335949038485	1.98823836112563	1.80922282742916	1.74957471639464
"ENSG00000063177.12"	2.17024081955955	2.07464003101317	2.09394231003927	2.3401620568445	2.20961155792661	2.2030893164336	2.18039842583336	1.96242911132334	1.89520610662485	2.10302990248522	2.21703690211557	2.29848423078132	2.17865333515564	2.44512680155335	2.29446426096553	1.99525490256632	2.33012489747106	2.14015028212538	2.15255163068965	2.02400262194395	2.00460093529892	2.20711115661476	2.0559210417328	2.16928292125099	2.23666332304159	2.04141930308942	2.69502450394077	1.88947679840842	2.11854771166008	2.01729955165206	2.22710179430681	2.04347834389784	2.21174083510943	2.1447380411479	1.98581024613496	1.9935133044046	2.27280183050665	2.26637905884005	2.3415922063175	2.23536699642489	1.96568799240649	2.11510169704537	2.14703265317892	2.03278912566049	2.14467839217526	2.19924694495777	2.17802015773146	2.29890143774459	2.28956270660217	2.31006471244711	1.95026537717178	2.09785465354446	2.00299161096062	2.12239518087364	2.35442583593161	2.15350037000044	2.18739383983876	2.3561260472907	2.19929192469863	2.16827156966245
"ENSG00000125743.10"	2.17247221025221	2.12386905012402	2.11587611098643	2.13525256208376	2.18468362489065	2.37628641273955	2.32935592453595	2.00579897781861	2.18222628668313	2.19669301117116	2.33543709108721	2.24367889505711	2.22280670550476	2.40556803723728	2.25260198685937	2.09060682690436	2.34004504491011	2.1291111504099	2.33212765314995	2.18233860066641	2.24236006431547	2.26721851616027	2.3400009338328	2.3432837862646	2.19928322588029	2.07332129389976	2.80610092747325	2.02976659910977	2.10681851244855	1.99647208645723	2.13658023116722	1.74809406725997	2.20874638193914	2.11992875250281	2.26620351262579	2.01430237987397	2.19493960739389	2.22788409522012	2.41710153557611	2.35181282064279	1.96716174898913	2.00850661001898	2.21334797233805	2.25628929995557	2.41692820887208	2.42039446525982	2.20445381249113	2.20568911861376	2.41686124217686	2.38868536098262	2.04253623013312	2.01755793547184	2.20137244506508	2.20932345219611	2.51425704638783	2.25755880947283	2.35040623412885	2.30592451192961	2.16987094793992	2.24303971109387
"ENSG00000276926.1"	2.06198200322314	2.02206910921867	2.03470185792841	2.32112903235444	2.11348259963885	2.07536357884232	2.11477393336056	1.93628906495729	2.26646129840585	2.32919198648767	2.08634445088474	2.32428404546899	2.29621803396278	2.27666479141772	2.20899778549033	1.93410323210543	2.32518143228766	2.38945854680808	2.3106010209154	2.48368585841438	2.17922118393272	2.06724063028537	2.02870931647739	2.16910676797886	2.16295251147896	1.99208189812347	2.13549151390298	2.04061972420406	2.01771052915418	2.03652271456909	2.05552394621062	1.70282059914891	2.14905462034914	2.1290358932826	1.94040114207219	2.06155215714564	2.30267611181336	2.35116490725321	2.19625361677568	2.2511113944156	2.10836720206587	2.20735172786902	2.39797994161596	2.11032280492134	2.37861715299585	2.28932088161071	1.96361418000697	2.37966361360081	2.42704025142671	2.51878120008685	1.89146485030473	2.3770673965977	2.08863208360387	2.14555038289958	2.38399699143459	2.09813477540311	2.48797783131061	2.31086784866148	2.29697985058121	2.13699463334545
"ENSG00000241468.7"	1.98861414213985	1.92547978758078	1.98185365884472	2.13334526129834	1.99089639438967	2.31253164384141	2.1576316556217	2.10707215415901	1.93086364877358	1.81030475060248	2.1326254489057	2.20553119429856	2.18881103662604	2.15524853644095	2.4142123728912	2.2309896149726	2.43795939409464	1.88282500684186	2.19835430647131	2.71067550654571	2.30590546108847	2.38104644919379	2.21185877410041	2.11434936271608	2.23135445877835	2.08242059818147	2.25809472526086	2.15436686960323	2.11946856004068	2.18512788629719	2.25616818710028	2.02019759409199	2.2621118856448	2.24836146714262	2.29124896351198	2.15175808631548	2.4049655482793	2.12091795110428	2.21257180685674	2.30729147220678	1.7471922506407	2.08040417590716	2.1592406887809	2.00688159486166	2.02752172923001	2.16013032671284	2.29971417860187	2.01410046246781	2.23179203044111	2.19694356024075	2.2685634639506	2.43545084525727	2.24761736784232	2.201401480828	2.31094811653299	2.27452046619194	2.12535912129703	2.30955107414291	2.20396984778053	2.29953271242473
