"03D_BEAS-2B_3"	"10D_IMR-90_3"	"60D_WI-38_3"	"25D_NCI-H1703_2"	"52D_NCI-H460_2"	"34D_NCI-H1993_3"	"38D_NCI-H2073_3"	"29D_NCI-H1792_3"	"30D_NCI-H1793_3"	"05D_Calu3_3"	"18D_NCI-H1573_3"	"19D_NCI-H1623_3"	"50D_NCI-H3122_3"	"44D_NCI-H2291_3"	"51D_NCI-H441_3"	"57D_PC9_3"	"23D_NCI-H1666_3"	"48D_NCI-H2405_3"	"42D_NCI-H2126_3"	"27D_NCI-H1755_3"	"58D_RERF-LC-MS_3"	"17D_NCI-H1568_3"	"46D_NCI-H2342_3"	"16D_NCI-H1563_3"	"24D_NCI-H1693_3"	"21D_NCI-H1650_3"	"39D_NCI-H2085_3"	"53D_NCI-H520_2"	"54D_NCI-H522_3"	"02D_A549_3"	"37D_NCI-H2030_3"	"15D_NCI-H1437_3"	"41D_NCI-H2122_3"	"32D_NCI-H1944_3"	"36D_NCI-H2023_3"	"04D_Calu1_2"	"33D_NCI-H1975_3"	"59D_SK-LU-1_3"	"09D_HCC827_3"	"12D_NCI-H1373_3"	"06D_Calu6_3"	"56D_NCI-H838_3"	"11D_NCI-H1299_3"	"45D_NCI-H23_3"	"07D_HCC2935_3"	"28D_NCI-H1781_3"	"01D_A427_3"	"22D_NCI-H1651_3"	"14D_NCI-H1435_3"	"31D_NCI-H1838_3"	"20D_NCI-H1648_3"	"26D_NCI-H1734_3"	"40D_NCI-H2087_3"	"55D_NCI-H820_3"	"43D_NCI-H2228_3"	"35D_NCI-H2009_3"	"47D_NCI-H2347_3"	"13D_NCI-H1395_3"	"08D_HCC4006_3"	"49D_NCI-H292_2"
"ENSG00000136237.18"	0	0	0	0	0.445982733096482	1.37463564151704	1.18488146030618	1.45510885277749	0.232810271013952	2.44662825136145	1.24182098061666	2.01926473559588	1.83298707841897	1.47314748603239	1.32168318556999	1.33097185611516	1.41207688984266	1.16162495142911	1.56686591924905	0.340894685757363	0.861502980593363	1.2962532956897	1.03928888337177	0.28731921545019	0.330473715620882	1.12220592381749	0.490787881513641	1.05619127214264	0.24223159602487	0.148270332183313	0	0.953476434236334	1.62482412884574	0.887808283167967	0.162663544162102	0	0.225972921548709	0.149320060607288	1.31399660469108	0.394532598763912	0.935958531609607	0.137125403064268	0.78477399338438	0.680092204797793	1.57884454525489	1.59891434194414	0.94198930253752	1.04528590799744	1.26283863468583	1.38017962197263	0.990879094173535	0.873658606715283	1.37070680557707	0.381860753179876	0.772399704801478	0.698952911848924	1.15579237266496	1.40825905937682	1.23328741888191	0.916350386875305
"ENSG00000198431.15"	0	0.584078607405769	0.605575163485076	0.950033909346524	0.847051643820036	0.830009320251076	0.764235899373085	2.76790619348813	3.17042808560609	0.806634594236341	1.99995898722518	2.03145638310675	0.785205732651247	0.897327162634495	1.0870549355397	1.49642387892107	0.771751932459427	1.03914206061014	1.88825170693892	1.21705448018053	1.85376988008497	1.15463342424693	1.28819683338526	0.856887360354085	0.418505139253659	0.710870136944173	0.686631949863065	0.971604134831243	1.0671248276775	1.13180322602181	1.13644888338219	1.44610889047175	2.01355761906811	1.3525935232455	1.44065177848378	0.831492045956633	0.464708971264468	1.18349201867924	0.868176357137583	1.41935998386475	0.677666891714298	1.08486376501142	0.59598281667816	1.08788778720912	0.294268577634095	1.08124226983083	0.311128064536365	0.936366521479774	1.01649694108375	0.604006086993708	1.17369330665683	0.704455208894095	0.522246233162172	0.686068291514962	1.13728891944209	1.22110047821528	0.616652420842784	0.694365583614638	0.548378933233173	0.56209467335212
"ENSG00000128585.17"	1.07464222668958	0.93264776382799	1.16527925814187	1.00185020994055	0.782091986963912	1.43363292407052	1.67970926925966	1.40190723403382	1.08973631017819	1.56711965293842	1.11473637204648	1.50552671253613	1.38641055925023	1.38280700459355	1.50134701074377	1.47884827813238	0.925648028578867	1.41483022992293	1.27681253872452	1.55562014188264	1.55329609573416	1.13497975189275	1.38658415960112	1.17746995472467	1.19317217524195	1.41058366772078	1.55469996621877	0.894300305255663	1.44574314664033	1.30589425429041	1.44478486229948	1.31911646333193	0.849318271335082	1.34843500483226	1.31396901684462	1.11741636679471	1.09288782629051	1.29698110751696	1.2313264559202	1.27165315054193	1.45118640763178	1.48819577507636	1.40049640391346	1.49109563134211	1.13879770948858	1.26929342833709	1.04702556813553	1.41180091615282	1.20505882495155	1.27848496764645	1.41631311885271	1.38023768070819	0.735130505020917	1.29523750173332	1.3014997883213	1.16270877850532	1.03506862781513	0.894348432436571	0.814526281370105	0.951580543330094
"ENSG00000064419.13"	0.881485048501781	1.13000820044421	1.13994909664928	1.0579741585489	1.01596589321486	1.27264426734458	1.63954256264427	1.49863703979616	1.25502059257829	1.4712273092701	1.19830611147512	1.79596395116858	1.38792000700001	1.49210378413555	1.61549450034071	1.36981462206309	1.48719673049388	1.56891740136113	1.78426237345033	1.63825377391033	1.54103550301091	1.49562378274104	1.56590569376948	1.0530273587342	1.41392890239635	1.46567180057642	1.98812154231896	1.24758131554082	1.46642451209635	1.39337566935725	1.00199244510526	1.39586196710394	1.03306836757889	1.30009959937472	1.30275329213667	1.07286095575831	1.11046063915635	1.45825591060188	1.56673899012762	1.46773804855812	1.53161587071286	1.36494210212843	1.47874393886738	1.75034321480086	1.40746530831058	1.10718483003288	1.19788393132088	1.25599125232205	1.38455733101249	1.5886046501313	1.16871848774973	1.25135793210568	0.459818365852172	1.06940590004224	1.09044449689679	1.48317536685952	1.12669209401291	1.19610838163527	0.869384464458377	1.11211601458309
"ENSG00000048828.16"	1.05008575112306	0.879665951534436	0.978363612121761	0.576435754515929	1.36798555284205	1.48968540575718	1.35304784623069	1.5408258567217	1.25841828683323	1.36756499611075	1.38036734414524	1.44230588668077	1.54578554840258	1.34520334614855	1.35389418136748	1.2486573286388	1.43701822191968	1.21649298546241	1.35788958861477	1.45182139897287	1.64075126291189	1.46641752938717	1.40419940726146	1.18520630068055	1.46281273762348	1.68782494944369	1.53736287765726	1.3989934644948	1.39442258140038	1.25654847858586	0.966615913363884	1.1938347018453	1.24748693604452	1.04343266507746	1.1465258541472	1.33544491125984	1.29162423035882	1.3114857759593	1.38801517855848	1.33082222795086	1.44545014190371	1.20440908958674	1.31990228375619	1.450871130497	1.35793634327291	1.35523095524263	0.986383808967281	1.293119742456	1.51021799065392	0.834099676850671	1.27083511571081	1.10970030990286	1.07445273437607	1.0411717916392	1.4331472880768	1.33179563706164	0.977276541910611	1.13158212628514	1.10830785988738	1.01271414636942
"ENSG00000135018.13"	1.38820214237216	1.28495730034652	1.14534010059747	1.06759247303882	1.25810569246393	1.7619378729189	1.55572466464786	1.45847673864593	1.65983316045987	1.40132995025059	1.26233943905259	1.57349839936065	1.45647897496125	1.52263185638453	1.3589734768485	1.27064593060083	1.23742790731823	1.0927632754411	1.38780869093525	1.22742632607529	1.34723504616715	1.37849116448305	1.72984534549128	1.40502662901392	1.24920678288629	1.55270651677361	1.56741872367971	1.13584246618122	1.01135748832892	1.31827364502179	0.943088108084202	1.14743001612452	1.04546909894702	1.04378393259361	1.28739929779457	1.2808936485378	1.51405201281626	1.46136412923873	1.27762997545152	1.40842253812836	1.56424901037295	1.37774240716606	1.39003471854817	1.49021927834745	1.43586392504239	1.28665647526563	1.26340979426863	1.3038611523833	1.455955592256	1.11139098151436	1.29005769791736	1.31141685790559	0.704979099657231	0.804909192394753	1.12187195160166	1.26792064755901	1.10835232420885	1.11634979838449	1.11738428875426	1.0389471544533
"ENSG00000057608.16"	1.27018487584994	1.24636430471615	1.20228772696946	1.20078989322719	1.01932907300186	1.33914376916308	1.3169805787265	1.5252460572028	1.29113325390459	1.29455261089938	1.26845451369977	1.49226602128891	1.53525805476192	1.38385001321075	1.26411075824148	1.44568561828666	1.30602437483718	1.4420100266109	1.4056819504593	1.19547544651784	1.2067212577427	1.4405639278038	1.35090673708334	1.23437583641192	1.24083192060483	1.4891081308143	1.53758470311277	1.76737130617787	1.20953413896911	1.44483076883288	1.43328349097593	1.53253600143659	1.50681238233674	1.20548467410836	1.134412491207	1.15575081426	1.34327382698045	1.36704717264463	0.91213629819324	1.13567185024651	1.5371803295706	1.74391592495127	1.10114379251806	1.55615744237537	1.13916955293575	1.11182300626993	1.41809130642531	1.29572504592705	1.29148737434022	0.854671509136477	0.949105624973102	1.15913223369125	0.895469672196982	1.05375128281004	1.02255837465989	1.24798329602744	1.11738028527335	1.28835698416107	1.15981279123055	1.13310974431668
"ENSG00000126261.12"	1.23122983049192	1.0814953662154	1.17082525041499	0.839274149025449	0.953532379857989	1.36943724588036	1.48261979098354	1.59347288243049	1.40965395410371	1.3623991321794	1.26826152997334	1.76911647366522	1.65887481484765	1.45822367841981	1.34930087545194	1.51932693152711	1.32557634618722	1.5048665986641	1.44222421454199	1.44231286902616	1.42006958644266	1.37624417231797	1.71554636038782	1.44636883235071	1.38444029800041	1.4592602833055	1.67970062242385	1.66551926880756	1.32835567205114	1.70999311719409	1.23163502078553	0.983215606247192	1.25718970072053	1.06536557597018	1.32455899675735	1.33130518730246	1.21738901313237	1.29047336317061	1.09958787609774	1.03984268713444	1.61346992163694	1.53441044973117	1.63323540825089	1.43168420862404	1.21137360380307	1.38208759894059	1.37278041931861	1.54848742923968	1.07153288547148	0.869637947372022	0.910783224944212	1.47116221783652	1.07487018100237	0.5139457793558	1.1602023063018	1.27608441720195	1.1902193396483	1.3576444813639	1.18480480269576	1.08956283468621
"ENSG00000065883.15"	0.896345334646684	1.27828042331105	1.37338089466839	0.993957588196281	1.08804936463598	1.19753193730886	1.48704186118946	1.32142761845183	1.32400485957825	1.68146147042904	1.32226003231882	1.8553463723512	1.56023040125684	1.63425184608104	1.08461909098654	1.8419291608655	1.29185879957766	1.48862201086485	1.6412414753972	1.38082573966723	1.64360532153507	1.65867630525627	1.51164022747169	1.48156278895747	1.25050773902163	1.78687286104523	1.65616408626569	1.51059838940493	1.68895501482386	1.38658080948505	1.06263461888618	1.28809330594307	1.23861213145658	1.1236699408028	1.32548088590804	1.31745458972141	1.49234387504858	1.56540383157702	1.51589289602899	1.15993614595682	1.53959137822608	1.126621928364	1.18067014007088	1.42839804643475	1.49148949068508	0.974168580261037	1.30092825901418	1.35896750219853	1.0140667787301	1.0072438075638	1.10336426518013	1.17816949017117	0.874851595008093	1.2771823695387	1.18290676366179	1.17045123562959	0.994837577384098	1.17602348869282	1.24369475183389	1.17471670424057
"ENSG00000101752.11"	1.33487506303772	1.13538597684954	1.23395180926687	1.43657892276177	1.2753740716253	1.54246503660611	1.21354277265161	1.57893529361836	1.62538738481912	1.54485830516634	1.60282359233597	1.40425443470843	1.16713791801206	1.09410219272678	1.37970113757323	1.46426830230022	1.23040070251245	1.25926504437465	1.64537639792505	1.42809459742399	1.36313175724129	1.27914041686313	1.35102970905197	1.44903579214022	1.38019593388028	1.54188944490328	1.27637286857024	1.20924915174065	1.70760142480348	1.11312296964537	1.01253750282636	1.42123924975297	1.22125632748002	1.23632551613907	1.04584070152489	1.53775985698978	1.57953298248857	1.31302268612326	1.54944786632535	1.06409610852648	1.07518022718422	1.55673326570844	1.2808459359292	1.31100505573294	1.12061228705391	1.41323537073637	1.46967581470331	1.21893387145982	0.850984647003035	1.40950591969336	0.989873292474336	0.955844511614376	0.979363367609879	1.05488897211225	0.864142276530524	1.23484356405675	1.04447028575334	1.25255296342953	0.711355655503564	1.32052701349992
