"53D_NCI-H520_2"	"54D_NCI-H522_3"	"11D_NCI-H1299_3"	"06D_Calu6_3"	"01D_A427_3"	"45D_NCI-H23_3"	"03D_BEAS-2B_3"	"25D_NCI-H1703_2"	"37D_NCI-H2030_3"	"10D_IMR-90_3"	"60D_WI-38_3"	"46D_NCI-H2342_3"	"07D_HCC2935_3"	"28D_NCI-H1781_3"	"05D_Calu3_3"	"31D_NCI-H1838_3"	"08D_HCC4006_3"	"21D_NCI-H1650_3"	"44D_NCI-H2291_3"	"26D_NCI-H1734_3"	"14D_NCI-H1435_3"	"19D_NCI-H1623_3"	"27D_NCI-H1755_3"	"59D_SK-LU-1_3"	"32D_NCI-H1944_3"	"56D_NCI-H838_3"	"13D_NCI-H1395_3"	"16D_NCI-H1563_3"	"23D_NCI-H1666_3"	"49D_NCI-H292_2"	"09D_HCC827_3"	"57D_PC9_3"	"50D_NCI-H3122_3"	"18D_NCI-H1573_3"	"41D_NCI-H2122_3"	"17D_NCI-H1568_3"	"34D_NCI-H1993_3"	"42D_NCI-H2126_3"	"47D_NCI-H2347_3"	"51D_NCI-H441_3"	"04D_Calu1_2"	"12D_NCI-H1373_3"	"35D_NCI-H2009_3"	"30D_NCI-H1793_3"	"33D_NCI-H1975_3"	"40D_NCI-H2087_3"	"20D_NCI-H1648_3"	"55D_NCI-H820_3"	"48D_NCI-H2405_3"	"36D_NCI-H2023_3"	"38D_NCI-H2073_3"	"02D_A549_3"	"58D_RERF-LC-MS_3"	"15D_NCI-H1437_3"	"29D_NCI-H1792_3"	"43D_NCI-H2228_3"	"22D_NCI-H1651_3"	"24D_NCI-H1693_3"	"39D_NCI-H2085_3"	"52D_NCI-H460_2"
"ENSG00000161016.17"	2.98853129216558	2.90708017374279	3.14364371134868	3.0552378593711	2.95147898226119	2.93127530774503	2.94139377532103	2.98624462332486	2.79643372001309	2.64647831183146	2.71783423641533	3.34234319163346	2.75233634466751	3.21546163663555	2.91757651048031	3.01279776099121	2.84310076644072	2.922502524336	3.10172454738097	2.81706697874131	3.26177519548166	2.95852182360902	2.96189237976624	2.93163124700303	3.00501216664755	2.86853871346167	2.90039163497962	2.97676877550589	3.03009406963114	2.88739152552484	2.95905635463809	3.26380118336769	3.10674392329958	3.0148466840668	2.90734804809738	3.11944310161708	3.09941030871848	3.11579473863326	3.13282726825761	2.95959778729392	2.65398109183552	3.00047940743856	3.0086057398672	2.90111175575212	2.80880132706163	2.95959045409164	3.26219651125885	3.47951536206017	2.79311183398538	3.10136456245171	3.12241422834243	3.04003568140477	2.82020782228885	2.94571450329142	2.78379658965072	2.81049998636028	3.09933879645259	2.74952451720241	2.90390550354959	2.83906028183629
"ENSG00000198618.5"	3.06291789300664	2.98800381880266	3.09439537104712	3.21414884178599	3.09105425525986	3.08012082646119	2.97383059979107	3.28860122854062	3.13891550364995	2.8344451223253	2.84763970693002	3.0926831307147	2.94918200894216	3.04330944375469	3.11468460959381	3.09210503084812	3.22996187056435	3.3579287688388	3.1358981837322	3.07368478053463	2.73218230612712	3.17429459218103	2.89130552677102	3.11275638752291	2.90067784054819	2.90154591035571	3.04854980798615	3.16685008446738	2.93667684247612	3.22403188015426	3.1558884394731	3.2962052000917	3.1676552970839	2.78608449314665	3.09793062378957	3.14984215849988	3.07117573071266	2.97063827745953	3.04496264596079	2.87739933391753	3.06225983748031	3.13846118004923	2.98681276395964	2.98096784476501	3.0603461604583	3.0644568629622	2.97085995285008	3.22546025765783	2.90278496659786	3.02814354441684	3.243900552253	3.06019196779951	3.13586972826172	3.0609414473893	2.96068445405517	3.27078879774831	3.08499433001054	2.96892911789624	3.20638428825527	3.13257935381391
"ENSG00000074800.14"	3.01071703904027	2.78969922463039	3.03564106524927	2.88566976393317	2.69725193557356	2.95732472451728	2.99544364568444	3.09219968506452	2.98823027112838	2.80519542283068	2.72687731683265	2.88461154569689	2.66604684174849	2.90354502792662	2.65987060943455	2.80795974846506	2.99628375480884	2.97119620577583	2.90634919382991	2.89286057305983	2.96412989895284	2.68118219615576	2.91200476723618	2.96583887148925	3.15949642430775	3.1502486695907	2.85857925777314	2.84925808516128	2.67022168442735	2.57236814642782	3.09415117318272	2.67718018061322	2.99397818593999	3.00315294652922	2.95913731222482	2.69823641182517	2.78721840535277	2.88008719726328	2.95668292664022	3.27603817494879	3.05468289528337	3.01854177993024	3.09206274406921	2.86220429801027	2.95031651567013	3.15670561470881	2.66974175095763	3.25665611934857	2.81524680432296	3.31741937953493	2.92836484851792	3.03499254624104	3.09643928858189	2.90698161461605	2.87066075215628	3.07926212444201	2.92636114466361	2.86352605521115	3.10642303059925	3.13892758064841
"ENSG00000227081.5"	2.94030158317439	2.9257385797277	2.97427134269323	3.00835563023573	3.03266493269443	3.20478346467923	2.68453801354093	2.77729822786146	2.90211156346314	2.78437900602939	2.80336405960866	3.00820833277762	2.62760399363787	2.92162890716467	2.76179300749557	2.9550076200738	2.82544688537464	2.75942864127667	2.88933359339837	2.85298672011367	2.78462229002607	3.11953195478894	2.90120839972564	2.76120686129518	2.9675387609252	2.9100311349962	3.3416953565673	2.90736330413636	3.20759530307582	2.76799850930118	3.05019053959178	2.91353781236555	3.76608853556432	3.00914388268293	3.06437618334374	3.20006180492359	3.20837311028945	3.06474405756157	2.97687087031133	2.842328737148	2.80466355421495	2.82770662613992	2.95774899603242	2.80330205158464	3.05656131641302	2.9620961977317	2.84618807946563	2.61780341146074	2.78317848616227	2.81161440813745	3.03530453084797	2.87941545743602	2.82558241485731	3.37770806043979	3.06883279598493	2.8972503673539	3.08451738455236	2.8093133512873	3.18349633385612	3.0446707934206
"ENSG00000109971.13"	3.05777721972597	2.90218261102607	3.19496316841506	2.9891726256773	3.02343338349523	2.96554238273902	2.33596171265865	3.0578799727179	2.97212175826682	3.00720098592258	2.95463381980478	2.94056024404555	2.73667293541426	2.82559179771747	2.96675946363308	2.85935461310488	2.88844447083288	2.72002334565894	3.04770391868012	2.97959992748495	2.81003753399165	2.78648978239545	2.87411769695254	2.7472824329629	2.94109625173108	3.10825590268254	2.994543430508	2.92551730524543	2.98967739055666	3.08085639131031	3.07643722673887	3.16550369209306	3.0118053510982	2.96006840617911	3.05209820517978	3.0233917828956	2.80936880857345	2.82324247454529	3.02226539420129	2.82809139019558	3.09883163568646	2.95283245725657	2.90602271164019	2.79062506698652	2.8900922798672	3.02484476676253	2.98743492627083	3.08970875486112	2.94946356926829	2.86888897747835	2.8406915362759	3.00133269417531	3.01923200536455	2.88392688297982	2.878406770881	2.82718017336665	2.97805080188706	2.96210683484059	2.97550534604811	2.85035732461762
"ENSG00000283795.1"	3.07841658212968	3.05625354908294	3.07876374798095	3.1098719943284	3.15858553427581	3.02335923459229	3.17463674671234	3.07638521051891	2.95613117981898	3.01619000907302	3.02803834958438	2.95640196012709	2.69962041236035	2.77914282907836	2.80875506977757	2.96537537573047	2.79922624432536	2.76221795174163	2.82640810347313	2.76981298786657	2.81573880138566	2.84460116582009	2.85737560498298	2.87110952579174	2.79614654070443	2.89486734651038	2.92065378019173	2.77009681867462	3.15197608863572	3.13289728519678	3.12759485592008	3.17788048962337	3.05506139973199	3.01248874559461	3.06982176489596	2.93012921117065	2.88478134917788	2.85954855932927	2.8057551515961	2.82370119028766	3.10183117909883	3.10321479464938	2.92274285612655	2.92169335718162	2.81123168486056	3.11823552885697	2.97748032624328	2.92145953103455	2.6901954560782	2.85234593363192	2.78362349943008	2.97906853771528	2.95929460956473	2.99509765279435	2.70896641018607	2.90316593689473	2.84248739458359	2.83100595635868	3.02594208949655	3.24886751499244
"ENSG00000204628.11"	3.22661151899093	2.93688306640951	3.09711073389686	3.16208942101402	3.06318195824534	2.84860707497771	3.08230507907077	3.02069160150692	2.7150648810438	2.84342845966956	2.88942716741023	2.54721692350917	2.49467384374534	2.65025804301368	2.92248540169224	2.81570106151198	3.01700371450793	2.80554583772083	3.11820227812219	2.70397008952997	2.55863316171715	2.78330134192686	2.91865265035306	3.12146361224504	2.8657254861183	2.79229622803766	2.81502316775616	2.9504620529648	3.47097146542892	2.90847160099504	3.11333426189317	3.04366765401396	3.0535281921426	2.96362421268163	3.11870988192445	2.80816740946421	2.87033788898278	2.74332804326893	3.11661963618018	3.00206024627553	2.92534372648353	2.99245075851632	2.88436080264379	2.94354944668732	3.0006134342459	3.19871990302884	3.26536332684651	2.97162131444936	2.95324398780236	2.76048137844649	2.85031451287223	2.95533009514579	3.13694595808746	2.80131825591584	2.97853679523842	2.99749549952514	2.79815090285152	2.97850173574906	2.94312688208705	3.10623330431016
"ENSG00000236552.2"	3.03449297303635	2.90235079627225	3.16477270553765	3.30407790671748	3.12050285998869	2.80458856227032	3.04017731870194	2.8502544896434	2.7526268702776	3.02854569301934	3.04444546263024	3.00026318290105	2.59884781662376	2.62300975570122	2.81389632717186	2.6083434237009	2.61000066751799	2.96709639407468	2.96226061021873	2.84863088122165	2.88587728616548	3.06142375515763	3.1367433808412	3.03854285041407	3.17265145465772	2.95038052879905	3.09463597320379	3.096562947117	3.2876824964957	3.01078741974978	2.99071286564495	3.26661175257381	2.90665785215135	2.93106695698969	3.15384981742474	3.04201251908549	2.78657288261548	3.12452264885463	2.88519453612747	2.81300267488457	3.07627120046376	2.84347930540376	2.89666429464654	3.01242568930122	2.83398264138821	2.68158634930591	3.06404936375958	2.7995630561391	3.03866879954827	3.09241170120552	2.73230940837424	3.09690019967652	2.98251838289831	2.77907612587837	3.10738298414555	2.75998658269259	2.71708354973656	2.74876900770894	3.07326800290289	3.11110293073118
"ENSG00000244398.1"	2.9578714036087	3.1350339461672	2.88580166321403	2.93087844369683	2.99427208329718	2.89168055112035	2.96981070557962	3.0618467819118	2.89244567963725	2.73469028830474	2.73137955851348	2.95669678070483	2.61527651467119	2.59898847138406	2.64140346829351	2.58821995215018	3.01317540629079	2.66086487091271	3.12089867018838	2.64671275760472	2.76550741593291	2.6489337765849	3.02252225728292	2.81504495184369	2.87981760917676	2.69932647442599	2.69915891955481	2.64873117769033	3.15973792996623	2.8682925334431	3.26112966478026	3.05091561991051	3.11651330995365	3.05349799618627	2.78939359633636	3.17986932260855	2.90306878476719	3.1253845666298	2.92733204837693	2.9840581586362	3.01972305686951	3.06052808373283	3.27053819452039	2.88514602990334	3.04029751032047	2.86116359856009	2.95042708347922	2.94319472400078	2.73045118014456	2.75989624185513	2.65432358119361	2.98410689703232	3.03431200325862	3.10674987621314	2.84655430060825	2.87451598825851	2.67974414296925	2.67298416302564	2.81245157939929	3.1512533386827
"ENSG00000235174.1"	3.18728027612826	3.23687987020699	3.0298089656137	3.06718829302543	3.25469063364776	3.11662677125039	3.09061336540544	3.26042194578674	3.10916676047183	2.97870403113816	2.962456105351	3.19558515612289	2.80773765032546	2.7217446057621	3.10129556916289	2.99985545681139	3.2146452591391	3.03278562930716	3.10257173971245	2.67848165922334	2.86247452793194	2.72239487520452	3.25818081195155	2.98106915801015	3.04402536301668	2.85487707997966	2.86453372489631	2.97576537460703	3.2595352788065	3.05586512205022	3.43338624134917	3.45968314383956	3.23877551244313	3.1086842155587	2.98516466321728	3.20071255731123	3.19899119324302	3.1086166016034	2.946461536536	3.14503787707141	3.19882682520383	3.16291735197111	3.12522416879695	3.05906885937484	3.29330287450354	2.85163254356992	2.96559880254437	3.16356297195417	2.77910681396165	2.79232302790145	2.83207618217175	3.21958179852796	3.17243417139872	3.22446174949169	3.10361426518676	2.99157764885362	2.6683837069305	2.84235787156532	2.9265597441221	3.31134695880971
