"PC1"	"PC2"	"PC3"	"PC4"	"PC5"	"PC6"	"PC7"	"PC8"	"PC9"	"PC10"	"PC11"	"PC12"	"PC13"	"PC14"	"PC15"	"PC16"	"PC17"	"PC18"	"PC19"	"PC20"	"PC21"	"PC22"	"PC23"	"PC24"	"PC25"	"PC26"	"PC27"	"PC28"	"PC29"	"PC30"	"PC31"	"PC32"	"PC33"	"PC34"	"PC35"	"PC36"	"PC37"	"PC38"	"PC39"	"PC40"	"PC41"	"PC42"	"PC43"	"PC44"	"PC45"	"PC46"	"PC47"	"PC48"	"PC49"	"PC50"	"PC51"	"PC52"	"PC53"	"PC54"	"PC55"	"PC56"	"PC57"	"PC58"	"PC59"	"PC60"	"PC61"	"PC62"	"PC63"	"PC64"	"PC65"	"PC66"	"PC67"	"PC68"	"PC69"	"PC70"	"PC71"	"PC72"	"PC73"	"PC74"	"PC75"	"PC76"	"PC77"	"PC78"	"PC79"	"PC80"	"PC81"	"PC82"	"PC83"	"PC84"	"PC85"	"PC86"	"PC87"	"PC88"	"PC89"	"PC90"	"PC91"	"PC92"	"PC93"	"PC94"	"PC95"	"PC96"	"PC97"	"PC98"	"PC99"	"PC100"
"1_A427_01"	0.216971079936155	-0.349216215286588	0.242065522281318	1.06169311907497	-1.15817065677694	-0.105197948675515	-0.254427959976322	0.774994291100589	-0.816528026039312	-0.129069184922054	-0.583938323837334	0.46595778386743	-0.143794751558192	-0.0733829541315002	-0.0388157662141123	-0.872045628526434	0.0707997917779918	0.146670111350016	0.194499344475928	-0.505542715244574	0.375953476407845	-0.598321814248284	-0.426391420405585	0.220886189733988	-0.0530995695701497	0.398674786816071	-0.177629708390836	-0.0279482865435086	-0.367410738536164	0.254236924148652	0.410149240564644	0.318874736370438	0.209408087236739	0.034283910416872	0.21359446426228	-0.222951476640935	0.242779599960129	0.0947702312534843	0.0182495480808695	0.08382968934467	0.475436995266611	-0.0142875412016143	-0.0647044779489281	0.230169393169029	-0.00294942614032763	0.196031794700266	0.147122656567178	0.0524430398455414	0.222165071565188	0.271141711264721	0.166172684561963	0.00786936660731286	-0.128808793690588	-0.108635097500511	0.0673399784001287	-0.102858753533374	-0.157493108962614	0.0485697856582235	-0.0152570208803904	0.0168163595281055	-0.212648170021667	0.316280368054668	0.0715625247470474	0.0629388000299525	-0.0626832425348692	-0.1179604887991	-0.00953379493743524	-0.0152554444877479	0.160118471604008	-0.139306405775551	-0.274459701405859	0.176455333636074	0.106233390413696	-0.169915674447628	-0.00926018137192036	0.0185743306131322	0.0762480442987494	-0.0194669813459116	-0.14822745924923	0.141719903009024	-0.206900569851413	-0.240778783095855	0.0270839006688458	0.000858539076151874	-0.0251714356753461	0.0232200677178391	0.0598680853806542	0.0324053270346184	-0.0871071056683972	-0.0535151714958014	0.0977676060657522	-0.00124612276593997	-0.00501222343616631	0.0380075932661315	-0.0508555624946517	-0.0398988452552784	-0.0126825506732322	0.119662613722357	-0.00703909137814357	0.00279904925299672
"1_A427_02"	0.711916422349813	-0.286947647710706	0.0559339054306011	1.06760035221972	-0.964542206726348	-0.151371378857638	-0.174414243600814	0.440500029174059	-0.409401177082195	-4.16084325309844e-06	-0.559936327078327	0.501662156834869	-0.216764790924962	0.0272532550201065	-0.0846476666557652	-0.788146015031638	0.107876630036854	-0.0176420995260627	0.232235697134168	-0.278873191172788	0.0984145694516357	-0.559021628724697	-0.334482896199503	0.368092858263798	-0.133097769071041	0.159137965669742	-0.10375608997617	-0.110415667557212	-0.227368796001524	0.10547340218176	0.0128296736213956	0.0911088784778155	0.161854746131045	0.191431080172235	0.177583809752869	0.00249734586192969	-0.149730098165235	0.111397709266993	0.0547624077058919	0.142403300280593	0.857834766796828	-0.241898505568655	0.168529860616518	-0.0423768065003435	-0.00303288712538405	0.27540200702925	-0.170556083000725	0.188708848280782	0.147370821335247	0.281727791459174	-0.154165569779037	0.0775506246579036	0.12310944943354	-0.0849431567830218	0.105252878735918	-0.202876744524909	-0.190662255343528	0.226019866692949	-0.256959941177995	-0.0153162049097094	-0.131123890634637	-0.0358996075452902	-0.0150089424960209	0.120331666911193	-0.130217669410585	-0.184679193831494	-0.133437292961972	-0.126004064687891	-0.152008959452305	0.0481332265112034	-0.0602078228476308	0.058768365894526	0.17092362434409	0.0182777039745188	0.237483172469332	-0.0720049466317222	-0.0523618482284857	-0.142918943024288	0.0426834355217995	-0.0644196794672861	0.0736880332388912	-0.0164731833958568	0.0582333097608912	-0.0106335407535672	0.106546452767717	-0.0930689346265423	0.231592977799695	0.000748863139964931	0.0466978488972242	0.0523275378132022	-0.0463356413071354	0.057579377058571	0.0815312251876939	0.0847845637994842	0.0507244167651262	-0.0479331529881895	-0.00555298297436672	-0.0885973482488546	0.0796657956625546	0.0259973380740733
"1_A427_03"	0.866417975292292	-0.370173760799995	0.246506122944284	0.923455453026643	-1.12075096413212	-0.11570678282234	-0.374113133311831	0.592740207567401	-0.831258280754546	0.218071570777368	-0.341003976882701	0.336454326611243	-0.135397211355487	-0.0940371669081719	-0.124681836841368	-0.815945965021152	-0.107607005804994	0.0688117149692123	0.281855267784737	-0.295998124974714	0.337457545433905	-0.433695622557181	-0.414376877246289	0.188518447794212	-0.305651334259567	0.750070833104713	-0.0129518813027995	0.285028312902312	-0.404007839241733	0.160496335068063	-0.278188624774182	0.327499732110528	-0.00246707850812102	0.0756253642615242	0.427226979264249	0.045804830656151	0.00486041697874369	0.0925149093734197	-0.00150415035698666	-0.236500331749327	0.430143621725797	-0.307554922610978	-0.0012273552995792	0.217932447381631	0.299561494160185	0.397726658488702	-0.0741945754378755	-0.0557350014473392	0.405765413729708	0.130834840372762	-0.0763455806643796	0.199170104253043	-0.289788388944633	-0.127127789696822	-0.326038387526969	0.00794011296808626	0.162630827406104	-0.0402484074503127	0.0781476305439166	-0.0909275773385338	0.0846661456232621	0.0566387226688413	0.0277974725269403	-0.0850180849894176	-0.178198263368327	0.185285090017292	0.140344052366172	0.106766551274783	0.0542118162298251	-0.21724553751335	0.00667407318111515	0.0473682445710078	-0.115092151987341	-0.0962744149153504	-0.118474721594732	0.0460694653714403	-0.0262138579676636	0.0441340331139634	0.110775112633132	-0.08694084270417	0.0503789025551017	-0.0187686728501165	-0.108814731743743	0.0247514262774014	-0.104168040616371	-0.0328071047230252	-0.0744193080730994	0.0252209659581188	0.057376383148845	0.00444809530824505	-0.16409292006234	-0.0537287847983637	-0.0749205162365823	-0.0508557507846778	0.110916202181152	0.0700007323374158	0.0440610862633289	0.00405422725809846	-0.031676512025273	0.0319595965688725
"2_A549_01"	-1.56544578426096	-1.1692838563728	-1.81221718244204	0.254727206789323	-0.333151170464606	0.516654623071039	-0.67542126019943	0.427164447256477	0.318325062372772	-0.407359440346124	0.399705595297053	0.292295701835007	-0.0834942945630037	0.103487885221677	-0.244704531399887	-0.209054053305432	0.243993774478933	0.62802559098869	0.0433176325510755	-0.0820486619018134	0.133145009139039	-0.284913134904659	-0.0093349070427959	0.601207596698704	0.925978051041217	0.0596794424528792	0.307531029429459	0.158921136411074	0.183461953628411	-0.470907750676614	-0.141703269421819	-0.215073265972821	0.115411499069043	-0.250287842952062	-0.0291264869626534	-0.0266538928032705	-0.123088040849788	0.0607289772678182	-0.0470314130526868	-0.2780743117229	-0.0840207048029522	0.146298281734138	-0.0250944266678021	0.192587591523198	-0.225289705246088	-0.199106625502071	-0.368572055100772	-0.0631273381304731	-0.103583002073521	-0.199558496881807	0.00752723008202253	0.0767732948507168	0.160471626483092	-0.162864472484551	-0.0304516137474182	-0.0787969274434886	-0.0738875447414427	0.119821112807356	-0.227030521091212	-0.0318723972499461	0.18160547345305	0.0860537084671118	-0.118332815332085	0.179828151696872	0.217100215705659	-0.292926806702187	0.065971140374957	0.0920092661457771	-0.0505048067571116	0.189972051125913	-0.0551962788327958	-0.103684503529656	-0.0913093251692679	-0.0574084666663271	-0.19153346367114	0.0516758359113455	0.0119926659276793	0.0277657884150477	-0.0665805933133697	0.233306975647622	-0.0433481380447072	0.0243108273577827	-0.106152739748245	0.0657105775504741	-0.101615017611887	-0.142465692479128	0.0476358210291879	0.0271666032468063	0.034886590585544	0.0361086627096871	-0.10626307096169	0.0446423907835024	-0.0248529966065538	-0.0686681035993064	0.00678027118759311	0.00680625561656942	-0.000581397931545026	0.0184996373977617	0.0551553621311192	0.020682340899026
"2_A549_02"	-1.16987003387268	-1.49664326328185	-1.73892912743654	0.39243948374447	-0.59527353162176	0.310003206246162	-0.490433371944098	0.452661107773661	-0.0652537397954363	-0.414171127497682	0.393254469160945	0.307479455247654	-0.16958672491123	-0.315593172433227	-0.301983881758781	-0.00398777467105432	0.442694936389447	0.414655145898693	0.0681488505488605	-0.24748089034547	-0.189730283702128	-0.0644999060604944	-0.121334097828275	0.0249450097571547	0.544804221811612	0.0707956147905717	0.0137254388973302	0.449036178260723	0.114291094995362	-0.738456013482761	-0.220271692349229	-0.0775718667960093	0.160948158801803	-0.315092898777057	0.0395547021258225	0.0925025637640484	0.0154883808194911	-0.129410226814798	0.0455032309477951	0.104992671544395	-0.218065094930433	0.0852154557914592	0.00901143294453838	0.247390561112072	-0.153654366251744	-0.173527029387774	-0.052499482502501	-0.0546833861658122	-0.0462581739049103	0.0284328215501452	-0.245888251721481	0.161995560406093	-0.267349514057009	0.0768972094551758	0.188395329280067	-0.150611673318431	0.0867956434498067	0.0400727043984391	0.0762849670900589	-0.202040131003637	0.0496755200900542	-0.213444423347058	0.0375448218930176	0.116216287325278	-0.178589469155392	-0.210876824938837	-0.0242527742074947	0.159561954106404	-0.144697700907545	-0.0578113918749296	0.0199956981629455	0.130623261226129	0.290869412155024	0.0704680540093849	-0.0851841197026842	0.0988530005250842	0.143606912395904	0.0514912654953933	-0.114270576512554	0.021075812793014	0.118366415562961	0.0901901645052863	-0.0778082229680127	0.073002438293125	-0.134989853982003	0.00654997474735865	0.0670962363032777	-0.0403862020649308	-0.078339744235428	-0.0368386935254214	0.0600888534833836	-0.0364635242588513	-0.00421061964671006	0.0392962396127988	-0.0890007655375177	-0.0379173285400184	0.0275763933160041	-0.0459119583076478	0.0468496827311662	0.00338462036298517
"2_A549_03"	0.142095486054558	-1.83850173703265	-1.32110289756748	-0.565713533391775	-0.908811048741774	-0.0126013607130114	-0.0508606877342066	-0.61434764431748	0.231679578792966	-0.307213399919542	0.0777635085500778	0.225569580021511	-0.389857130693842	0.139019818230873	-0.044269249988484	0.0162036296714137	-0.175601362432569	0.357879960586504	0.325900436108768	-0.12767396916378	-0.00393298095593005	-0.197851053953981	-0.196455053964006	0.274362152857941	0.569468764481312	0.198844211238716	-0.0148161086469983	0.462028641719526	0.282568230941919	-0.691093586123336	-0.177037225852593	-0.417754297847987	0.198966046418936	-0.350977227120703	0.0488136663511731	-0.170379583108304	-0.0117440997674394	-0.192793970436526	0.0520747176137818	-0.12664402080707	-0.0784502372787098	0.185676509272695	0.1834752835364	0.389741298714214	-0.176989162773605	-0.184848300080195	-0.0760953478073071	-0.122667756562538	-0.485771622040256	-0.145198896445922	0.150308316303055	0.0825462462644858	0.307867607136669	-0.352258340059299	-0.0138208836817456	0.145805238145048	-0.108706626623328	-0.146362930167164	-0.0245104415209185	0.271991763018613	-0.300731430210799	-0.104373182876315	0.288001171356382	0.010707406418311	-0.235563315341131	0.242031876742991	0.199657691835545	0.0408682125852323	0.046111195164146	-0.200387688554734	0.0726201517871385	0.138863334463713	-0.00356223922813108	-0.10460513026871	-0.0758589418760442	-0.143515330995811	-0.0174723175441552	-0.144314393033597	0.0989069077226729	-0.0609709087544443	0.0804362126099746	-0.116263596490192	0.107285791727366	-0.193544388143239	0.124298934101017	-0.0385323413289511	0.0111658588412735	0.0573059185773271	0.0751652964321226	-0.0307761489257731	0.00816850552622941	0.123619874077997	-0.0439469408730822	-0.00386503721498676	-0.0440634629618506	-0.00819783234596925	0.033882866723279	-0.0095562498826654	-0.0551726021229868	0.00185532904993368
"4_Calu1_01"	0.45157631736307	0.186954418665963	-0.942861049316933	0.654123211783151	-0.162754249153872	0.782862046671016	-0.381594237687934	-0.33892538333386	-0.222560335017584	-0.665123557938857	-0.390528396496202	-0.0106689899521103	-0.0472383544822625	0.700973199401586	0.503219527166532	-0.499080694919582	-0.704541200698868	-0.338192847346104	-0.490462428343779	-0.428037274229995	0.0136410341791795	-0.333663040451165	0.582666015636399	-0.682362875364876	0.00472868855598101	0.171287832842787	0.458859152855231	0.299070857127252	0.561419854396099	-0.0932390764432693	0.082378553377426	-0.0970794065760507	0.00431902087652507	0.316431449509192	0.499751002646253	-0.295242424838588	-0.330593448814522	-0.244229589773975	-0.0905820028863256	0.28556695174702	-0.16888424954291	-0.208964494143687	0.180091947794069	-0.119858100565328	-0.202761215567244	-0.110438104559379	0.0556029115336748	0.418313567390963	-0.282358703185097	0.329643505856882	-0.164685305031751	-0.0324011103703658	-0.143860522525722	0.0748802833495426	-0.254547512208654	-0.00606928353929962	0.13032468944262	0.500792125093974	-0.194823319428723	0.119393280781577	-0.110775401955799	-0.0825641433513159	-0.181532587758548	-0.0413173339244173	0.0980131119727998	0.289596487865555	0.188958542126549	0.135619298056054	0.0744552382151891	-0.0157489288871907	0.0923167650562144	0.0918868584521177	0.0439719417762196	-0.0915753772962121	-0.027569519704994	-0.0304386724934706	-0.0236922988586831	0.206676454639546	-0.0577420518262095	0.0433577300203447	-0.0965655259908677	-0.0764828034525087	0.168394507816129	0.0265350691200641	0.0578087075613719	-0.0209384811059908	0.0378910732092819	-0.193086895952131	0.061559662139255	-0.0772213136362089	-0.0134895084574248	0.02560017422893	-0.0160190985892293	0.0309681488610233	-0.0381792580281747	-0.0792091230435705	0.00598146742595925	0.0240972251120002	-0.0289616339426667	0.0200619259985441
"5_Calu3_01"	-3.15701490947039	-1.42288373058527	0.787990914133587	-0.363613761604782	-0.868700928271836	0.852159775152219	-0.0159457446656522	-0.266825920194401	-0.439456697878507	-0.749848073142291	0.0303932280767442	0.179479608258822	-0.949814371358345	0.214237445891265	-0.198998833840769	-0.76066964021018	0.100813848320981	-0.0371551466407693	-0.0738238403250819	0.783424807040147	0.503694477013864	-0.099419707700397	0.0776663906030965	-0.0865379495864357	0.0880879789379386	-0.775272655356412	-0.222555089581664	0.0851201328625549	-0.290240984957407	-0.0805703909743548	-0.190821996737486	-0.107078352065816	-0.283931647604934	0.0329155500663414	0.205183019389085	0.408199056460006	0.0919591098163543	-0.227009997967236	-0.0569514272797044	0.100873709951271	-0.0538813300150068	-0.266396377743665	-0.168833428908698	-0.0787602721242144	-0.160679006022644	-0.124647020563305	-0.0530476115282281	-0.25445040576151	0.233737012148366	0.0740472359616894	-0.109406295881955	-0.147178999221985	-0.0431029037018352	-0.0163490927265589	0.168002255451953	0.00999841577920592	-0.104090140464673	0.0936218333156939	0.244473374970559	-0.100437161841216	-0.0268328033809885	0.0349095472228618	0.0589183600520104	0.149616789024208	0.192383238663659	0.0868447861521569	0.110921089413303	-0.223860015231415	0.0115700420498694	-0.103211462195157	0.173966067685039	0.0181207120772777	0.00305267680548013	0.146519915796821	-0.104528406307111	0.0780704771952618	-0.036503595682599	0.0578168317642109	0.0355100593542313	0.00277411238032559	-0.0367309656849495	0.0364660919752567	0.0246379047486538	-0.0153911850134607	0.0845697933452167	-0.0114329261205789	-0.0896049511417838	0.0940981486602995	0.0459899746940301	-0.0347287886645128	0.00826614281002826	0.0200047916589825	0.0168502466471253	0.0641024867310457	-0.0162235626059042	-0.1019403371237	-0.0307158194329592	-0.0119346904667544	0.0294550225663625	-0.0245534604949098
"5_Calu3_02"	-2.03659225829615	-1.53007664166554	0.696450767746069	-0.451015510762166	-0.59228887097538	0.634187709802501	-0.302252486976987	-0.349179898529888	-0.377819089192803	-0.607191855697919	-0.189282900442246	0.205174537735158	-0.91203315193923	0.161451641731129	-0.202792845351495	-0.901987283699	-0.286690368162356	-0.00871767785742521	0.120965179076746	0.743894893874748	0.553775915048476	0.0558005998029294	0.0461094999376014	-0.503189173509951	-0.0843510225955066	-0.337539558130018	0.00703551542889056	-0.055451872943859	-0.286039196984719	-0.13692732531235	-0.00154412625377864	-0.0279030286020061	-0.234114241745377	0.0587989843223777	0.129715486951901	0.492419704846026	0.357892406510401	-0.327633560190481	0.0378511236782797	0.101655160646601	-0.0832355238638552	-0.345392218005982	-0.0269103341540357	-0.0018836216862851	-0.211187880225176	-0.145961459887893	-0.0161548398845246	-0.254500212810226	0.118402212885678	0.0834135843736613	-0.0409925441612201	-0.0768102444747712	-0.0458043867170008	0.0144904483023372	0.0200841255010084	0.0188388376753676	0.00289561665425593	-0.0479015628086985	-0.0244412702836009	-0.128967028623695	0.0286148066589628	-0.029623486423868	-0.0143706344619427	-0.0130407973276069	0.125347377351773	0.0181251073834091	-0.044256346724343	-0.0456033071683969	0.0467638834898042	0.0227109780725511	0.0302940005895849	0.0545404979530232	-0.00817229304235015	-0.0154889408895734	-0.140076232701148	0.00204771168001422	-0.00912215103077249	0.0853673106272752	0.0688742463949517	-0.0944854686474223	0.0485777458718152	0.104431231772948	0.0547911119950394	0.104844755220294	-0.0620345006493398	-0.0363362454810366	-6.31161049769787e-05	0.0606916986789643	-0.040089760101549	-0.057798825192616	0.00433274154625767	-0.00310856354399951	0.0347156402796681	-0.0643041385195489	0.0590341298312098	0.0838690514675599	0.00100873679083024	-0.00764678374083343	-0.00349697406965537	0.015844847248052
"5_Calu3_03"	-2.43163589516929	-1.56496813295969	0.653691165573694	-0.506065549931607	-0.903005301439904	0.652980966136655	-0.157405747449801	-0.692275754695689	-0.326407121443597	-0.835890873566146	-0.0877853272643858	0.101670698127717	-0.83492085284878	0.580968019167632	-0.140784205535349	-0.850369240970405	-0.215390247316375	-0.130960653774384	0.309938531156613	0.682465119212108	0.301573445211064	-0.120303985461732	-0.122766457280611	-0.284337549710604	-0.0949974672122446	-0.602508463090851	-0.246665726458807	-0.021693130164608	-0.126063724008081	-0.372593029747202	-0.0260621999995153	-0.0246863553758619	-0.180992525059597	-0.00440873848868042	0.110486688886792	0.610635155543082	0.425492903919413	-0.359443114995574	-0.103000073808931	0.0732462666274062	0.00497034017517994	-0.2975467524835	-0.146118756906741	0.0160031748482942	-0.0708616908931197	-0.124342940062952	0.0858814722027671	-0.10224838410594	0.116724259774529	0.146139107534941	-0.0638823519948043	-0.0845503441511726	-0.00994153224881418	0.113377382658987	0.0133361840383785	0.156244577624454	-0.112214540575083	-0.112863016543122	-0.0573336462336935	-0.117743718163894	0.00756771677509796	0.164763720713597	0.0173650961717651	-0.204831418373858	0.0851160233705488	0.197016846418785	-0.0114221077345077	-0.130313744913478	0.0251802756895545	0.0733037795652633	0.0551717464465493	0.162463033953766	-0.0626078572157765	0.0455819823677166	0.0583769769188599	-0.0255042168728649	-0.0828623445234157	-0.194371299396623	-0.0751228006056069	0.0572738371369012	0.0761083604617891	-0.0234924227421631	-0.0997262180225826	-0.0228260228677731	0.0766174286540581	-0.0532988671826278	-0.0963756616790278	-0.0210359328060142	0.0170383391992819	0.00970628111239932	0.0541688333269658	-0.0753384043369577	0.0412787038930235	-0.0334119346494844	0.00800199230775808	0.0102464302429506	0.03250511705998	-0.0220817275781128	0.0200523440370815	-0.0562642843891449
