"PC1"	"PC2"	"PC3"	"PC4"	"PC5"	"PC6"	"PC7"	"PC8"	"PC9"	"PC10"	"PC11"	"PC12"	"PC13"	"PC14"	"PC15"	"PC16"	"PC17"	"PC18"	"PC19"	"PC20"	"PC21"	"PC22"	"PC23"	"PC24"	"PC25"	"PC26"	"PC27"	"PC28"	"PC29"	"PC30"	"PC31"	"PC32"	"PC33"	"PC34"	"PC35"	"PC36"	"PC37"	"PC38"	"PC39"	"PC40"	"PC41"	"PC42"	"PC43"	"PC44"	"PC45"	"PC46"	"PC47"	"PC48"	"PC49"	"PC50"	"PC51"	"PC52"	"PC53"	"PC54"	"PC55"	"PC56"	"PC57"	"PC58"	"PC59"	"PC60"	"PC61"	"PC62"	"PC63"	"PC64"	"PC65"	"PC66"	"PC67"	"PC68"	"PC69"	"PC70"	"PC71"	"PC72"	"PC73"	"PC74"	"PC75"	"PC76"	"PC77"	"PC78"	"PC79"	"PC80"	"PC81"	"PC82"	"PC83"	"PC84"	"PC85"	"PC86"	"PC87"	"PC88"	"PC89"	"PC90"	"PC91"	"PC92"	"PC93"	"PC94"	"PC95"	"PC96"	"PC97"	"PC98"	"PC99"	"PC100"
"1_A427_01"	1.67722075703531	-1.22648039146374	0.101630179085696	0.725610449027183	0.363710502218808	0.611247374474006	-0.827459263461134	-0.141289656141602	-0.428811057825522	-0.121935820546217	-0.189750298480666	0.483434866567365	-0.071189387818003	0.450402478452904	0.236269728228489	-0.0516361907891415	-0.143562841334165	0.150608615069792	0.718284009847853	0.0348895886495603	0.128193665585008	0.256988263948757	-0.214034100114578	0.136345187750339	-0.114650429385361	-0.103834759248031	0.27845987276807	-0.127568028456744	0.0884294384122361	-0.0949101669503725	0.0196925678379266	0.0937454928922694	-0.0100453798545812	0.179733203664165	0.0440606630894055	0.171337706545273	0.166987271160479	-0.182002707195149	-0.114999482532353	0.252966909981421	0.0542213304220972	0.130972140871388	0.0556908870742946	-0.0345483977440129	0.0459442461782483	-0.184013767746778	0.10041421337471	0.0441481899073115	0.031182254193253	-0.112608110057887	0.0426030180298874	0.0979044071702278	0.0158036838558195	0.0779894504392225	-0.0280937874715925	-0.060218521692478	-0.0578417218813048	-0.0382420917991335	0.0408222103683673	-0.00954880695705149	-0.0705233092145612	-0.0328753416863623	-0.006588882981288	-0.00456796602347472	-0.0232736232967292	0.0397199767089904	0.000851462422712335	-0.0119577105008203	-0.0277592141190384	0.0077892964348712	-0.00356401438931592	0.0259580791779826	-0.0432677635306271	0.0207427532524179	-0.0153215040956083	-0.00153757815327288	-0.000885594636053481	-0.00540553026542283	-0.0198113041033523	-0.00896889980116621	-0.0104485761273017	-0.017194412023813	0.00434276846346315	-0.0100263627294447	-0.000801881825879301	-0.0156424460792348	0.00683799684276597	0.0140124716089257	0.019105830900795	0.00116790230773373	0.00863106467689176	-0.0149629722681396	-0.00374333930210618	0.00135073991098497	0.00155351270245582	2.87585251701356e-05	-1.20795026344214e-06	-1.47437346869089e-08	1.9777167223489e-09	3.39421186561763e-10
"1_A427_02"	1.47327124379483	-0.96670449013993	0.0585603049356534	0.426296226073788	0.434465185883498	0.418130761660169	-0.740073212695254	-0.152211435503218	-0.366235317469061	-0.0890247364352982	-0.100141993983217	0.429476840773032	0.0152646471033434	0.484290618472022	0.300879222977187	-0.0892063092847887	-0.220030097793429	0.126894520440905	0.706996546819103	0.0288864629585446	0.0981793796792129	0.177276936423165	-0.236866651861974	0.147801937968466	-0.0347898077269381	0.00338453318181607	0.296366315980036	-0.175404284222342	0.123455964984413	-0.125229485694476	0.0269278791975603	0.110850106733317	-0.0723437288344345	0.219239541504805	0.0805596761297569	0.209920472124974	0.18191712202493	-0.149634609103769	-0.162748929879763	0.216056158551039	0.0573697800034624	0.0527404565798709	0.0463156546836612	-0.0234215613373481	0.0814293902941559	-0.0954296150569799	0.0508904239436938	0.0672019140015763	0.0179961501369315	-0.162243004268352	-0.0431111636320856	0.0238427766995954	0.0178943187416612	0.028136161924305	-0.0154016742336656	-0.0380749126709258	-0.0281560453413354	-0.00416882673805645	0.00890768392187032	-0.0688557432393135	-0.0321152504406692	-0.00396376926254866	0.0392355856334824	0.0199576727747254	0.00892373996030718	-0.00508531879600131	-0.0412984044086862	0.00639604309363402	0.0439153953409636	-0.0320646776827665	0.0252006365819135	0.0106638836710895	-0.0131663918075064	0.024946683413567	0.0192416675482235	-0.0128531652472887	0.00661911862244019	0.0295732632232574	0.0064053501571816	0.0166819917370108	-0.00133159514976514	-0.00516826602711899	-0.00426095311550685	-0.00731320108744191	0.00426199527219664	0.012429212538651	-0.00521304983975849	-0.00858325791177733	-0.0116566034626673	0.00602757466290222	-0.00601793119997683	0.00609532939515977	0.00161618877142912	-0.00131805984642996	-0.00444784777228261	-3.52301642148101e-05	3.72577947995357e-06	6.04208767339605e-09	-8.72902150236254e-10	2.90276683433406e-10
"1_A427_03"	1.40738012393246	-0.966011208627014	0.0640009612300541	0.425394103799147	0.458716248732385	0.531369035404899	-0.819104892398293	-0.0500862994265954	-0.302633192313053	-0.149378270072421	-0.0427192653678365	0.431147633112705	0.114975787600844	0.412160686391592	0.237914585908658	-0.130634292495047	-0.202298672012853	0.140651331883398	0.715698735499886	-0.00250850848855055	0.135278147505456	0.152919122979016	-0.240941836699919	0.113557204955653	0.0182378259473292	-0.00336733821287799	0.286845101321559	-0.159354673820815	0.0835444722319879	-0.119470232258936	-0.0392874004297803	0.0179603315192412	-0.0227286245856533	0.232406912475014	0.040626069603736	0.137151573224214	0.147541779805055	-0.12399943219475	-0.138702836116941	0.255535723133376	0.0396943088128169	0.137991588992645	0.0569244275898052	-0.0620798343930523	0.0712675152871738	-0.0956846420109405	0.0264775402712653	0.112619131679925	0.0227736256406039	-0.132911889222918	0.0105808563360443	0.0575174106062984	0.0714284200843493	0.0312382601631329	-0.0106276730069212	-0.0495989538305623	-0.0360902682908659	-0.0231912714368611	-0.0409867212668944	-0.0608301203389099	-0.0298307506740734	0.0260221468927506	0.0282467153920802	0.0118052935051501	-0.0156288940022972	-0.00668444984822055	-0.0248753543668197	-0.0138174535376096	0.0070233728342337	-0.00951066838180816	0.0286861175543006	0.00138685759198027	0.00356182882177994	0.011145414854463	0.00746041111600607	-0.0239578658507039	0.0018923612191786	-0.0127290910266497	0.0116860071358389	0.0186160901939207	0.0063981726980207	0.0140103341507955	0.00414547988390952	0.0121891942455595	0.000263700735376351	-0.000838194025141981	0.00423654370706391	0.000889565886418439	-0.00740469325769393	0.000524891329773784	-0.000400445513960798	0.000270093655196235	0.0076572669363433	9.12056191356911e-06	0.00262621321532078	1.0267921208356e-05	-3.28199495611187e-06	5.98746427632401e-09	-1.22544207741904e-09	-1.48654414314569e-09
"2_A549_01"	-0.664615678850888	-0.603842193539215	0.869762146733696	0.567085362129641	-0.565728891235186	0.363459106417719	0.56317037828744	0.0761738625866661	0.329738795594821	-0.450645219351978	0.332219947983396	-0.736627063712596	-0.0331566045101605	0.0937322875449044	0.0479790491960187	-0.0339158054640407	0.314699329715197	-0.228819400990729	-0.116987244366155	-0.121704778460738	0.182233667148352	0.0969595369546428	-0.177324334170195	0.280734998425446	-0.161540727913741	-0.159457253723277	-0.129264268148194	-0.297227869607664	0.350497454676246	0.201683414021821	-0.326883138851021	-0.0549000170038782	0.102023463305392	0.252432257504528	-0.119443017774871	-0.0570396634509657	0.137979295656647	-0.0598338595176999	-0.140695772511318	-0.0991851067309042	-0.128911633391427	0.176901492573326	-0.0406983281506813	-0.0945203100636769	0.0302551536875642	-0.00437570119410131	0.0877585692829591	-0.117719178751526	-0.0200281560351901	0.0136476712104706	0.108141461682102	0.102361721067294	-0.151773129062414	-0.0226981780985103	-0.0491654178184081	0.062684825983562	0.0390418499928742	0.0893030221823817	0.0891384545782322	-0.0122076501251502	-0.0435125510324295	-0.0160816758177674	0.0491095157733548	-0.133959927599214	-0.0205783722647157	-0.0273281229001564	-0.0504929027590992	0.0103386948336148	-0.000692665291142041	0.0300230608307954	0.0560226094387399	-0.0424986342919042	0.00869896825694614	-0.0197495441397829	0.0206090630611056	0.0110885319278614	0.0116968831010991	-0.00177437668346334	-0.0169649581704795	0.00138631748336648	0.00148897892267447	0.00999806708391754	0.0176962927443984	-0.0098925919812517	0.0117401547261971	0.0135385372169379	0.00289177345208109	-0.0156105227721953	-0.0137822328483524	0.00458973598989306	-0.0136914912090244	-0.000824634990929812	0.00142547152851692	-0.00296764089961643	0.000750266978460409	1.95107580728598e-06	-1.48047202870503e-06	3.76472321172618e-09	2.64012441218248e-09	1.06664514122502e-09
"2_A549_02"	-0.727692049428748	-0.716228917710908	0.829664021224644	0.192629060123099	-0.74805939835195	-0.179472504399217	0.869825200138205	-0.164520543940024	0.412825288616681	-0.433927764998486	0.318250492103137	-0.488206806932939	-0.266709944339545	0.366844545098357	0.0507960992618177	-0.0320807602766627	-0.133482755546021	-0.248656430036132	-0.139695013419401	0.0494464515798048	0.396636458518709	-0.00579978082965424	-0.114190639622085	0.0634215777676721	-0.319727349675918	-0.0179718065010349	-0.227920122609705	-0.11806834491533	0.166378608919914	0.213907245344531	-0.293159615093234	-0.0850434879120613	0.144594767552085	0.180608059976455	-0.164900099889164	0.122608891034675	0.229068856800935	0.0335496522917429	-0.186075825227233	-0.123722647649569	-0.0326835207814384	0.19226275574706	0.0568111091069988	-0.0434252147891967	-0.0530341894139849	0.00627245402485368	0.12509516289597	-0.024503481051244	-0.0188617923004771	0.00323081461569167	-0.00382788567829109	0.0936513303510124	-0.0385687392854252	-0.0200392667407392	-0.00275515464776233	0.141231398496903	-0.0636802347723399	0.0379920459176704	-0.0684995692366225	-0.0103344674379021	-0.0826790617833025	-0.00201993922942643	-0.0467471341584376	-0.0725887119669189	0.00700982244021072	-0.0377780172312123	0.0329624727235389	0.0119301991682474	0.0281288657801442	0.0327578703136485	-0.00176517681074335	-0.00112338760342038	0.0631071315352346	0.0275060103467328	0.0321554845734336	-0.00403311449080572	0.00288736961449125	0.0139044425218131	-0.000922966918701418	0.00984185936857405	0.00864922861295858	-0.0190751225571975	-0.0267452343186638	0.0025274719584815	-0.00741408223729779	-0.0233369387382971	-0.0101311630445373	0.00713769641974374	0.00420979332318993	-0.000287743424655443	0.00906846327892812	0.000608369724204935	0.00174605893180342	0.00440747608858939	0.00172885813668902	-3.64080896009315e-06	2.63443423993732e-07	-9.71326278046303e-09	4.78492584313083e-10	7.68642526728852e-10
"2_A549_03"	-0.552535959216248	-0.495740790000584	0.544450646874785	0.152507908361231	-0.396851600914078	-0.108793827229043	0.284589130651868	0.0603297631623154	0.759174504829164	-0.684807022106269	0.919609896075037	-0.477141556857744	0.198089347002097	0.327514920449534	-0.13637297229857	0.0602012332454445	0.00309397491093138	0.0763803864550189	-0.0697201106732622	0.159554429755578	0.184840650578481	0.233487736019177	-0.0249744816626459	0.0424497217470201	-0.159529985997035	-0.0108365256670649	-0.244305218540045	-0.128523207475812	0.226481563506662	0.25621634422885	-0.287771967916721	-0.0270206895518301	0.105813067963166	0.295371971177147	-0.109788748564472	0.0246979492274053	0.124796698460428	-0.0254547251808748	-0.205112131049891	-0.0678272680168931	-0.121628723764268	0.0818738753732237	-0.0858227967123839	-0.0335576394538418	-0.0239205678063355	-0.0840044360316636	0.0450539490330611	-0.0291670756897711	-0.00257876483844796	0.090180636122244	0.0258553171945708	0.050282162056394	-0.0666212430429171	0.00643913818282339	-0.0506981664706837	0.105816732715236	-0.0926709487218901	0.0747654352570315	0.0149262234496908	-0.0151633633922806	0.0222537484784119	-0.020314191246445	-0.0281059459925472	0.0390653073094162	0.0265214810922904	-0.0369302669520629	-0.0341285112614943	0.0505363448194644	-0.0268333119892785	0.00583945137687704	-0.0476679259543023	-0.00654592866051466	-0.0250204041562974	0.0316042906899855	-0.0181503912933353	0.046796714382091	0.0225968366211623	-0.034737339517723	-0.00733270846932176	0.0168027691409762	-0.00318726722419656	-0.0122765969863794	0.0251598997138648	0.0154733608341854	0.00233901557794303	0.00939297588275525	0.00763318346830099	0.00813420737650176	0.00775607838585155	0.00569670194039269	0.00478839112303456	-0.000678585171704866	-0.00604239418363292	-0.00258220146718801	-0.00305822916734343	6.84153281664002e-06	1.33459406326082e-06	-3.70555236839028e-09	-3.12975655711881e-09	-2.51191938995995e-09
"4_Calu1_01"	-0.494856445972467	-0.0858110318734258	0.685233634723397	-0.809759692583781	-0.412614530144793	-0.00719310771685135	0.0151578350222868	0.779518206884353	0.492178236567295	-0.264150260706306	0.103550125202247	-0.386506513730188	0.630251656550589	-0.0926759440998195	0.253529107704149	0.340206365491429	-0.215483845405025	-0.416554107475242	0.133252112829774	0.127716286603604	0.106408940318901	-0.150023488194931	-0.23882922881538	-0.0129185348029527	0.070428322134195	0.278640089279046	-0.0883856579418544	-0.229680270373229	0.3865198790265	-0.102495192982883	0.294581944059753	-0.0890826634249368	-0.0784027744685669	-0.188691441332614	0.159321962507322	-0.160674168542807	-0.252233074667686	-0.105409008567109	-0.0847729242446754	-0.164309048326414	0.0455003374932496	0.10709623578291	-0.181805422925439	0.15802607231622	0.0770121167320162	-0.0622664768092649	0.183225723658028	0.0582831649352291	0.142138463675329	-0.110701708596494	-0.0216678052969316	-0.104239765088284	-0.205261738110958	0.189692339018725	0.194822496451127	-0.0996095732675855	0.0523028101215041	0.0141611995837202	-0.0467611878374807	0.0509563065981154	0.0544254408554334	0.0258189002509677	0.0975570970023199	0.0170799500075766	0.0151193174958348	-0.0424911884760993	-0.0501245415015555	-0.0122853729231851	-0.00711458275235737	-0.0201877565539819	-0.0264461047013667	-0.0397717302401193	0.0133078907795659	0.0258246431452785	-0.00804205278369678	-0.0114124551994092	-0.000537711251068579	0.0101765031023381	-0.0206918467335167	-0.0349903753466021	-0.00828467916490382	0.00569722486256526	0.00698421216923515	-0.00897664716314205	-0.015028951795296	-0.00732267122541874	-0.00656579506299495	-0.0113560389595533	0.00656398135272175	0.00617940886860048	0.00315847472782402	-0.00179711217868435	-0.000420429692766483	-0.00147382237495677	0.0008337514408224	2.65820990750547e-05	1.07102934421422e-06	5.83074836650876e-09	-3.55566610433772e-09	-1.65527014841966e-10
"5_Calu3_01"	-1.19081254043778	0.948902070388521	-0.886462503798836	-0.789882448130682	0.382697144241565	-0.139410520199799	0.213208795019515	0.568926820562348	0.324938209427472	-0.0458164844667294	0.421883225411328	-0.115631853519465	-0.281167919934422	-0.294584974642239	0.786648747137974	0.0119491159328049	0.178323713077534	-0.275380042935851	0.268462739137175	-0.0762292398519393	-0.32720619221776	0.50451804317375	-0.342984786112251	0.101178267436917	-0.101706030357084	-0.310671930631059	0.186422214799656	0.181471323313318	-0.0425329265483133	0.288669871194692	-0.236683698698379	-0.228784592026678	0.152537247203603	-0.0376976942991669	-0.183338110116154	-0.0762189372855321	0.247599364331034	-0.19652505303822	-0.0202032611623589	-0.172363393657752	0.0688212065178117	-0.00922959920975185	0.0374343105324295	-0.0151689112542027	-0.0715740667071963	-0.00545327065791102	-0.130468117826957	0.0719792458253429	-0.15662523326514	0.0120540543900524	0.0688203855515433	-0.0463897396232976	0.00362467709852453	-0.0239061267021984	0.0492605706125391	-0.0822722122642709	0.0176653062133644	0.0220290829209148	-0.0532486121181726	0.0361672651732936	-0.0109154797592277	-0.033785747201897	-0.0332862228402263	0.045379572309162	0.0252187307549596	0.0449840615816924	-0.0249643767626904	-0.00804116452428915	0.0173941840150932	-0.0153889028545992	0.00127373733017526	0.00232038375291389	-0.0314250809990871	-0.0460112253132324	0.0102247843072668	-0.0193336092512077	0.00998701424061672	0.0011254387799258	-0.0149408383771351	0.00652988960411352	0.0122265656624419	0.010456236420838	-0.018654735003497	0.00389558592860156	-0.0149562881279169	-0.00791358905630702	-0.00799126629832764	-0.0072594330517996	0.000662758090385023	0.00995384698088372	-0.00964330596698209	0.00213943524388806	0.00371117425607354	0.00476141863205698	0.00245450171091974	-1.28188473739903e-05	-5.86723791491475e-07	1.30847616002728e-08	2.35665554393326e-10	2.87924438475469e-09
"5_Calu3_02"	-1.13011980418848	0.905706630289633	-0.786171480128805	-0.81723377571807	0.554889272547759	-0.07975247913661	-0.168600136670617	0.670297784837503	0.502117625682381	-0.257302070730316	0.687397959776559	0.0974359880427788	-0.346625380529334	-0.0648302969144238	0.532262708217275	0.012996311866759	-0.218508682079369	-0.164971567699154	0.0833509392441439	0.253810788947952	-0.413761491054242	0.444465404901721	-0.224434782351788	-0.117729515730999	-0.219398346953763	-0.175078138038333	0.188921939978046	0.155778516196551	0.163997972761284	0.232488436790455	-0.0746528186137943	-0.0664038755809995	-0.0240834405303597	-0.0820338695483244	-0.137920146860988	0.0288083739704853	0.204527053768381	-0.0838078099329996	-0.119940092628496	-0.0809943489866898	0.0401928964837397	-0.155299318975511	-0.0379828929477419	0.154703271766895	-0.0849904964140763	-0.0491883096358209	-0.102239046920503	0.0130475369232697	-0.138133760798753	0.0418227697426341	0.109493321145497	-0.0548335165518181	0.0130479024032187	0.054754045981263	0.0615838048151381	-0.0131589090593358	0.0238976459063972	0.0187268028037612	0.0184941268866826	-0.0690324193032288	-0.0277909749362696	-0.0227465934357326	0.0165273784005523	0.0746017800536487	0.0216685250908483	0.0353491541094777	-0.0141947020753122	-0.0192735017404832	0.000674513397739308	-0.0177712375250241	0.00587156864187296	-0.0301991664955691	0.0325628731241651	-0.00277761649451588	0.0111032412673069	0.00134318693445916	-0.0083510087374109	0.00563743514675216	0.00520940443119293	-0.0106144442315408	-0.00420820230435555	-0.0211418820320084	-0.00261033906053117	-0.00631583091886738	0.0109349800201286	0.0112109921042099	0.00172769889702727	0.00596251471988202	0.0100408284282531	0.0079915307822132	-0.00315602092883599	0.00459064899776444	-0.00177189761349492	-0.00155033504146265	-0.00263487206613534	1.52141914686542e-05	-5.33938734329036e-08	-1.0387830527064e-08	2.90964101556697e-10	-1.65468333689034e-09
"5_Calu3_03"	-1.14324137032212	0.657836373073507	-0.734774349271557	-0.830144633535803	0.653102631980543	-0.0289743643532283	-0.270092404795601	0.786582549781744	0.512415559235404	-0.280653396382822	0.753932661029587	0.06836679453887	-0.403471184292793	-0.100779095454763	0.539098970492206	0.0231549923417807	-0.0851775178253302	-0.227587081532799	0.150178807317663	0.253146565644472	-0.487216391363907	0.440318265245358	-0.248995192303123	-0.102410149393663	-0.197694864815174	-0.227729869039105	0.157978927940751	0.200829543037458	0.104725042424499	0.294702642382252	-0.0849896981870701	-0.149381298099823	-0.0104475250938666	-0.076486255328498	-0.148318319708796	0.0264852305587253	0.213752621872849	-0.0700944285479417	0.012031476467018	-0.0610257369883188	0.0787389212021796	-0.115322950042551	-0.0328333541342671	0.0811834801091492	-0.146516037364604	-0.0646404225679764	-0.0907092758219523	0.065309066274053	-0.104302706270467	0.0495132525257833	0.126796527961684	-0.0685385139003296	0.0188373241494632	0.0069167319085242	0.0371008977858948	-0.00372907678094864	0.00174485497754005	0.0423695198805755	0.0149792919964078	-0.0117114249237766	-0.0388941596799008	-0.0310157336948615	-0.0195840305086363	0.0287363805900814	0.0240544698536655	0.0515568816727777	-0.00227298329960162	0.00855072901693643	-0.0161942366180296	0.00337353576055653	-0.0175810473606434	0.0228963599553527	0.00913092203545635	0.00708870376480705	-0.00931336884509928	-0.00184191382522241	-0.0297004148022902	0.00444848415146565	0.0123325714146286	-0.0128314694125825	-0.00791712022591131	0.0141549840528519	0.014053670221997	-0.00371270627984999	0.00957917926990818	-0.0109921208920898	0.00580869814830511	0.00358790146869173	-0.0095784688191734	-0.0165124427222936	0.00533911718502932	-0.0031607474574861	-0.00375883212924632	-0.00483940042149434	0.00199456056932745	-1.06928395533223e-05	4.64539921585765e-07	-1.24186352189179e-09	-9.50167637623297e-10	-1.15314398669947e-09
