"25D_NCI-H1703_2"	"52D_NCI-H460_2"	"04D_Calu1_2"	"03D_BEAS-2B_3"	"10D_IMR-90_3"	"60D_WI-38_3"	"49D_NCI-H292_2"	"47D_NCI-H2347_3"	"08D_HCC4006_3"	"07D_HCC2935_3"	"28D_NCI-H1781_3"	"13D_NCI-H1395_3"	"40D_NCI-H2087_3"	"43D_NCI-H2228_3"	"55D_NCI-H820_3"	"53D_NCI-H520_2"	"54D_NCI-H522_3"	"21D_NCI-H1650_3"	"39D_NCI-H2085_3"	"18D_NCI-H1573_3"	"19D_NCI-H1623_3"	"29D_NCI-H1792_3"	"30D_NCI-H1793_3"	"15D_NCI-H1437_3"	"41D_NCI-H2122_3"	"32D_NCI-H1944_3"	"02D_A549_3"	"36D_NCI-H2023_3"	"20D_NCI-H1648_3"	"26D_NCI-H1734_3"	"23D_NCI-H1666_3"	"35D_NCI-H2009_3"	"14D_NCI-H1435_3"	"31D_NCI-H1838_3"	"16D_NCI-H1563_3"	"59D_SK-LU-1_3"	"44D_NCI-H2291_3"	"51D_NCI-H441_3"	"09D_HCC827_3"	"12D_NCI-H1373_3"	"17D_NCI-H1568_3"	"42D_NCI-H2126_3"	"50D_NCI-H3122_3"	"57D_PC9_3"	"46D_NCI-H2342_3"	"24D_NCI-H1693_3"	"48D_NCI-H2405_3"	"05D_Calu3_3"	"34D_NCI-H1993_3"	"38D_NCI-H2073_3"	"01D_A427_3"	"22D_NCI-H1651_3"	"33D_NCI-H1975_3"	"37D_NCI-H2030_3"	"56D_NCI-H838_3"	"27D_NCI-H1755_3"	"58D_RERF-LC-MS_3"	"06D_Calu6_3"	"11D_NCI-H1299_3"	"45D_NCI-H23_3"
"chr1_117402186_117420649_+"	1.70313901881896	1.80954085706008	1.91508149915757	1.59588021789249	1.76386508311959	1.84014177414117	1.65014783945287	1.4543431837722	1.57120381132057	1.66728350745502	1.81022459800901	1.81573386317915	1.72004054179801	1.56979588178386	1.64690303933314	1.80097526145043	2.32372088131148	2.2352533149834	2.1498700958456	2.05771823322361	2.39265339457743	1.93289398775065	1.96481096174867	2.02840932028922	1.70374789306375	2.17082253981797	2.00568819111164	2.11182239955876	1.82866591642871	1.772659181091	1.94493829954351	1.65020479780345	1.94420331125436	1.25641509547877	1.59221741248088	1.830196077273	1.51128272849775	1.73745610113076	1.91576131911384	1.61101581853585	2.19418994829754	2.0034561507065	2.06818587303637	2.23179346316878	2.27656471496794	1.84358984084364	2.27083840372759	1.94434099593464	2.02194340486079	2.3055470301345	1.66434607929775	1.99841109914744	1.33829360871822	1.8751634924228	2.32965634428109	2.08243230943164	2.24612765769018	2.02645174102586	1.79542678445417	2.13847110071695
"chr11_33286413_33287511_+"	1.48063528295911	1.21713322258361	2.04559173455912	1.83476287020608	2.12743783489603	2.1531919721175	2.09139498028902	1.79013125995295	2.25158950428045	1.94035466789182	1.74463868699789	1.62396448337124	1.66251397962473	1.63764552087348	1.62910776418602	2.06278687364048	2.30659385795586	2.04294860267116	2.0047964385727	2.12740969131771	2.35096992116425	2.02659174716128	2.09427780758824	1.68750346479907	1.67888865075385	1.83509709216139	1.93658821271113	1.72907983043882	2.00626772855611	1.98142625908617	1.9488768889367	1.93908924498579	1.95013735099628	1.93758395697974	2.37209099106648	2.31839600337081	1.61003058547524	2.05952017182894	1.83349984394795	2.06069805199377	2.37098495019979	2.05011860799495	1.93268847899392	2.02895083554721	2.08661616176633	1.86372139682436	2.16259333538327	2.06251225029642	2.00607411024413	1.99677636928286	1.92922061358445	1.88873857474354	1.72661719057687	2.03669385956549	2.17413260947386	2.04090521141153	2.13238389841248	2.2877005054848	1.83733845393268	2.19935878451871
"chr20_32366384_32369123_+"	1.57488074335405	1.49356673663314	2.0935217253253	1.98791377189947	1.70792640174371	1.72627360886849	1.5396737832791	1.5651535058879	1.15958723616542	1.74456194851064	1.80395789252824	1.26926676698174	1.62615665902807	1.35259297140541	1.93038268141596	2.00241540072205	1.35211378686097	2.31264475723104	2.43008201028487	1.62406700853603	1.62682456318467	1.86967298848634	1.89797595827824	1.47393185861675	1.49361837489782	1.52329991933352	1.83863678463335	1.6769944436885	1.611322301348	1.88262632135396	1.89327802446892	1.66738084461533	1.6454939971357	1.82801379111993	1.97223109493243	1.88642077988361	1.7474738634637	1.90796646455192	1.7214671971702	1.43166955705157	1.74878854163109	1.60808741726564	1.89072746958095	1.7000570486351	2.05190151905702	1.98197920297216	1.81691766072582	1.82671113356441	1.84930349907695	1.69892648908305	1.95556800656199	1.84600896522015	1.87327336428751	2.10618874813507	2.0552677965897	1.80362011545696	1.71170036436862	2.16427339622489	2.12975767151496	2.03688966517308
"chr6_4891713_4892379_+"	1.63500687157805	1.31481815135766	1.96847297453185	1.64125995855059	1.5402994656425	1.64678273205059	1.59473585149142	1.56352961488912	1.28260944973715	2.11776904495165	1.64702502578785	1.5766745812927	1.82204466507616	1.38646182734262	1.85496273036191	1.91895427797556	2.33189456173787	2.03959665747671	2.16377675473895	2.05265786302922	1.98366026122888	1.9546320207932	1.87580782688883	1.50150876376624	1.74251162298549	1.63773960946011	1.89649292157788	1.35220433030509	1.69099800946865	1.81881174176829	1.99642029575787	1.7803772561329	1.66726113383256	1.76154358223339	1.78653986852661	2.32581675026014	1.45233362808145	2.07107645968856	1.76868503633031	1.53038472529341	2.15962818993199	2.12026910186782	1.85874564437384	1.30066158537398	2.23625155444947	2.06706184470345	1.91452676866529	1.94265818298982	1.89384590437977	1.84841665214104	1.64893584568023	1.80775293515214	1.59096328730288	1.5819984479166	1.93912900806157	2.10605342848931	1.94034468938988	1.49800431734195	1.86694231497166	2.11826769213735
"chr8_61680968_61684188_-"	1.65121908745183	2.1402624588404	1.85901844926531	1.76867436474182	2.12704348853758	2.20454493429225	1.13355558643455	2.09815926736378	1.45676348801245	1.39700826188283	1.15910212005958	1.38782764096465	2.0758424926001	2.10451108003513	2.004333104938	1.6952614913215	0.767173808772739	2.19105845798267	2.0827746150891	2.67145011075651	2.343087599276	2.05768428870911	2.72448875543782	2.80829216962837	2.59442080692347	2.74711775106735	2.65749025141109	2.92922997139933	2.33950828124769	1.55717623327349	1.78925869628712	1.97289470331379	2.40703929551802	2.20201850412542	1.91022015054347	1.909823190452	2.2700828834738	2.22990456640631	2.30868550708491	2.56210187153102	2.20594984077584	1.79991971821368	2.0281061994957	1.99974549329719	1.27873455322568	1.7308590726	2.26042062875549	1.91830003373091	2.60875644866288	2.16990864705874	2.04001921936457	1.93693691556092	1.81504288378881	2.31823008299903	1.92159888609397	2.46181383768368	2.43796897851263	2.47242225805255	2.00557660188052	1.72090819913954
"chr20_54157169_54171670_-"	0	0.277887900221279	2.0271393413044	0	0	0	1.00738442783149	1.15039547985876	1.53150194252906	0.793158725043261	0.691615443799066	1.09859505585198	1.59049783853748	1.19387461610281	0.677983222788774	0.39978699653347	1.66359771525318	0.738056159558996	1.15601298358052	3.59686807016883	1.573863556101	1.12541293661903	1.50196899975816	2.16924987773269	2.5406577309916	3.09336640727073	3.32876765598756	3.04748728643485	1.84324781600912	1.30115981341293	1.07932908190294	1.42977058203776	1.93566214684272	1.83055251537917	1.6652082245313	0.149320060607288	1.41386104519298	1.40397116494611	0.714747524971491	0.310006608913649	0.976857777836422	1.63377766152084	1.06359617879381	1.23755558212444	0.971028137051387	2.53188915666276	0.892810125690837	3.03603871747288	1.03192449534837	1.82514098987974	1.85155884119452	0.528329376543713	1.25354745693611	3.43870081363003	2.06387310578451	0.669517646053544	1.80470897905892	0.866107633950051	1.3799393478152	1.96559036350028
"chr9_110972073_110973558_-"	0.488284797766967	0	1.13916982508392	1.90935348092768	2.00364233134444	2.10678053785859	1.76234439619821	1.79271944396418	1.6597195438196	2.04000606524791	1.49595397518678	1.12912046041754	0	1.13838224298068	0.861168502386384	0.39978699653347	0.396810555171957	1.58320254331935	1.6826759082483	1.34522063177525	1.70756866449145	1.68668610147472	1.74776658971218	1.44792254237624	1.33646188014123	1.44973980002887	1.63098732207523	1.3056258439649	0.58797239565771	1.01084797770623	1.57276615431199	0.991804443145492	0.440653617275616	0.375648855552877	1.79565343164833	0.976560432895459	1.45367731428469	0.0858669364254737	0.986560686532161	0.214286178595065	1.74084329155086	1.42159204354262	1.55616046930708	1.3899900156189	1.34350316910441	0.929985530752203	0.506315511624016	1.20778645665531	1.9207301612593	1.17859795268306	0.789794234997985	1.34690845623962	0.739687497642258	1.53065839035474	0.913114398758976	1.46980018086977	1.45509736771206	1.55038463724864	1.1745508260389	1.09541157366316
"chr8_61618978_61653660_-"	0.767076741597825	0.80463674180312	0.533845043323779	0.827376584249399	1.11576646881126	0.931202371407423	0	1.04022718601105	0.987134145324406	0.797805243233034	0.553215267934322	1.50483114580055	0.963777780218331	1.94102519410112	0.831739149550005	0.302569697182863	0	0.593942373712493	0.989387105629569	2.03735752248386	2.4926928355055	1.30007200350894	1.72824861953453	2.10706620877175	1.56705919679336	1.97392417255727	1.68138257854357	1.78810532283508	1.85762874863658	1.17831566951444	1.42012467298388	1.34477732275829	1.81473924120478	1.16319350863554	1.78033039979094	1.43796034696407	1.59300929161594	1.28035312002549	1.43834937062237	1.42218338521032	1.21162362870163	1.13846991610439	1.22660651262041	1.39155903598153	1.23469411637203	0.618777432704227	1.33160719286958	0.832738331771353	1.65269895120688	1.75650366482374	0.68123931476919	0.988017147394772	0.726052865768018	1.43371317714391	0.981292937816521	1.59663290194389	1.57807479267681	1.46904049228729	0.808827307369879	0.49783758575474
"chr7_24623666_24668660_+"	1.32858808559508	1.14486473007225	1.56246664259412	0.909291426173512	1.00883774827909	1.12268984803721	1.13176946518647	0.826513663237619	1.30918648857838	0.679409602138312	1.28967670434946	1.47677431536653	1.38786318340203	1.36327223010367	1.48329817028222	1.19552700254866	1.54508797310353	1.57645719541921	1.73109773511253	1.33032209688761	1.39510009421747	1.40870571432209	1.23445018120033	1.03392934149091	1.3246786573853	1.32118572943275	1.27951088006026	1.2123307161536	1.35676688689593	1.29728793127439	1.52504349882321	0.896347541403077	1.40798689764204	1.86470929491521	1.44509245711788	1.77088758962807	1.13558481777789	1.50920319622372	1.4561292748333	1.26503269087814	1.69201215480399	1.08114041766224	1.51460770385089	1.43897428205749	1.23694872467119	1.50936313552401	1.47008600483504	1.60005024912289	1.8674884384032	1.4471884187474	1.331069543454	1.08926435423755	1.43738046240972	1.06038812592738	1.22640380257749	1.57773714474089	1.53276510636166	1.32246162532051	1.27485965916135	1.59969762426412
"chr10_31908172_31910563_-"	1.12822319053302	1.18581014285664	1.36911975321388	1.34640528994217	1.30982879841859	1.20780187240041	1.45992634593842	1.31573127285666	1.43682458719049	0.857216695340528	1.40303938562138	1.52161176245834	0.95803156954731	1.1954429594717	1.19826846245082	1.43283512602617	1.28624987592148	1.11915790394798	1.49445336751454	1.5314739692249	1.1550537367986	1.61245882512144	1.45435732763404	1.3189405194954	1.09579723190073	1.34302133825078	1.61648215333744	1.10769792976017	1.35052090608063	0.932676006914183	1.26318642056671	1.11441844837754	1.50437771357116	1.39915260427285	1.63632731959218	1.62954101677537	1.14040862216832	1.49100452578922	1.52236664134321	1.39771473748901	1.83366250481321	1.59098510796266	1.3497888240415	1.49471029179652	1.69719430610862	1.96974228884103	1.41891092344627	1.92762890686583	1.51457248606184	1.36835575975917	1.89577790121026	1.67289709836643	1.54305681836231	1.28648987673014	1.67548323670263	1.81048500066809	1.23177001007233	1.75157000323677	1.2504559521929	1.45101643330606
