"29D_NCI-H1792_3"	"30D_NCI-H1793_3"	"58D_RERF-LC-MS_3"	"37D_NCI-H2030_3"	"02D_A549_3"	"36D_NCI-H2023_3"	"32D_NCI-H1944_3"	"15D_NCI-H1437_3"	"41D_NCI-H2122_3"	"44D_NCI-H2291_3"	"35D_NCI-H2009_3"	"47D_NCI-H2347_3"	"51D_NCI-H441_3"	"09D_HCC827_3"	"12D_NCI-H1373_3"	"26D_NCI-H1734_3"	"50D_NCI-H3122_3"	"06D_Calu6_3"	"59D_SK-LU-1_3"	"04D_Calu1_2"	"45D_NCI-H23_3"	"11D_NCI-H1299_3"	"56D_NCI-H838_3"	"34D_NCI-H1993_3"	"38D_NCI-H2073_3"	"18D_NCI-H1573_3"	"05D_Calu3_3"	"24D_NCI-H1693_3"	"16D_NCI-H1563_3"	"19D_NCI-H1623_3"	"21D_NCI-H1650_3"	"39D_NCI-H2085_3"	"17D_NCI-H1568_3"	"46D_NCI-H2342_3"	"57D_PC9_3"	"23D_NCI-H1666_3"	"42D_NCI-H2126_3"	"27D_NCI-H1755_3"	"48D_NCI-H2405_3"	"52D_NCI-H460_2"	"03D_BEAS-2B_3"	"10D_IMR-90_3"	"60D_WI-38_3"	"25D_NCI-H1703_2"	"01D_A427_3"	"49D_NCI-H292_2"	"53D_NCI-H520_2"	"54D_NCI-H522_3"	"14D_NCI-H1435_3"	"40D_NCI-H2087_3"	"20D_NCI-H1648_3"	"31D_NCI-H1838_3"	"07D_HCC2935_3"	"28D_NCI-H1781_3"	"08D_HCC4006_3"	"13D_NCI-H1395_3"	"43D_NCI-H2228_3"	"33D_NCI-H1975_3"	"22D_NCI-H1651_3"	"55D_NCI-H820_3"
"chr1_117402186_117420649_+"	1.93289398775065	1.96481096174867	2.24612765769018	1.8751634924228	2.00568819111164	2.11182239955876	2.17082253981797	2.02840932028922	1.70374789306375	1.51128272849775	1.65020479780345	1.4543431837722	1.73745610113076	1.91576131911384	1.61101581853585	1.772659181091	2.06818587303637	2.02645174102586	1.830196077273	1.91508149915757	2.13847110071695	1.79542678445417	2.32965634428109	2.02194340486079	2.3055470301345	2.05771823322361	1.94434099593464	1.84358984084364	1.59221741248088	2.39265339457743	2.2352533149834	2.1498700958456	2.19418994829754	2.27656471496794	2.23179346316878	1.94493829954351	2.0034561507065	2.08243230943164	2.27083840372759	1.80954085706008	1.59588021789249	1.76386508311959	1.84014177414117	1.70313901881896	1.66434607929775	1.65014783945287	1.80097526145043	2.32372088131148	1.94420331125436	1.72004054179801	1.82866591642871	1.25641509547877	1.66728350745502	1.81022459800901	1.57120381132057	1.81573386317915	1.56979588178386	1.33829360871822	1.99841109914744	1.64690303933314
"chr11_33286413_33287511_+"	2.02659174716128	2.09427780758824	2.13238389841248	2.03669385956549	1.93658821271113	1.72907983043882	1.83509709216139	1.68750346479907	1.67888865075385	1.61003058547524	1.93908924498579	1.79013125995295	2.05952017182894	1.83349984394795	2.06069805199377	1.98142625908617	1.93268847899392	2.2877005054848	2.31839600337081	2.04559173455912	2.19935878451871	1.83733845393268	2.17413260947386	2.00607411024413	1.99677636928286	2.12740969131771	2.06251225029642	1.86372139682436	2.37209099106648	2.35096992116425	2.04294860267116	2.0047964385727	2.37098495019979	2.08661616176633	2.02895083554721	1.9488768889367	2.05011860799495	2.04090521141153	2.16259333538327	1.21713322258361	1.83476287020608	2.12743783489603	2.1531919721175	1.48063528295911	1.92922061358445	2.09139498028902	2.06278687364048	2.30659385795586	1.95013735099628	1.66251397962473	2.00626772855611	1.93758395697974	1.94035466789182	1.74463868699789	2.25158950428045	1.62396448337124	1.63764552087348	1.72661719057687	1.88873857474354	1.62910776418602
"chr20_32366384_32369123_+"	1.86967298848634	1.89797595827824	1.71170036436862	2.10618874813507	1.83863678463335	1.6769944436885	1.52329991933352	1.47393185861675	1.49361837489782	1.7474738634637	1.66738084461533	1.5651535058879	1.90796646455192	1.7214671971702	1.43166955705157	1.88262632135396	1.89072746958095	2.16427339622489	1.88642077988361	2.0935217253253	2.03688966517308	2.12975767151496	2.0552677965897	1.84930349907695	1.69892648908305	1.62406700853603	1.82671113356441	1.98197920297216	1.97223109493243	1.62682456318467	2.31264475723104	2.43008201028487	1.74878854163109	2.05190151905702	1.7000570486351	1.89327802446892	1.60808741726564	1.80362011545696	1.81691766072582	1.49356673663314	1.98791377189947	1.70792640174371	1.72627360886849	1.57488074335405	1.95556800656199	1.5396737832791	2.00241540072205	1.35211378686097	1.6454939971357	1.62615665902807	1.611322301348	1.82801379111993	1.74456194851064	1.80395789252824	1.15958723616542	1.26926676698174	1.35259297140541	1.87327336428751	1.84600896522015	1.93038268141596
"chr6_4891713_4892379_+"	1.9546320207932	1.87580782688883	1.94034468938988	1.5819984479166	1.89649292157788	1.35220433030509	1.63773960946011	1.50150876376624	1.74251162298549	1.45233362808145	1.7803772561329	1.56352961488912	2.07107645968856	1.76868503633031	1.53038472529341	1.81881174176829	1.85874564437384	1.49800431734195	2.32581675026014	1.96847297453185	2.11826769213735	1.86694231497166	1.93912900806157	1.89384590437977	1.84841665214104	2.05265786302922	1.94265818298982	2.06706184470345	1.78653986852661	1.98366026122888	2.03959665747671	2.16377675473895	2.15962818993199	2.23625155444947	1.30066158537398	1.99642029575787	2.12026910186782	2.10605342848931	1.91452676866529	1.31481815135766	1.64125995855059	1.5402994656425	1.64678273205059	1.63500687157805	1.64893584568023	1.59473585149142	1.91895427797556	2.33189456173787	1.66726113383256	1.82204466507616	1.69099800946865	1.76154358223339	2.11776904495165	1.64702502578785	1.28260944973715	1.5766745812927	1.38646182734262	1.59096328730288	1.80775293515214	1.85496273036191
"chr8_61680968_61684188_-"	2.05768428870911	2.72448875543782	2.43796897851263	2.31823008299903	2.65749025141109	2.92922997139933	2.74711775106735	2.80829216962837	2.59442080692347	2.2700828834738	1.97289470331379	2.09815926736378	2.22990456640631	2.30868550708491	2.56210187153102	1.55717623327349	2.0281061994957	2.47242225805255	1.909823190452	1.85901844926531	1.72090819913954	2.00557660188052	1.92159888609397	2.60875644866288	2.16990864705874	2.67145011075651	1.91830003373091	1.7308590726	1.91022015054347	2.343087599276	2.19105845798267	2.0827746150891	2.20594984077584	1.27873455322568	1.99974549329719	1.78925869628712	1.79991971821368	2.46181383768368	2.26042062875549	2.1402624588404	1.76867436474182	2.12704348853758	2.20454493429225	1.65121908745183	2.04001921936457	1.13355558643455	1.6952614913215	0.767173808772739	2.40703929551802	2.0758424926001	2.33950828124769	2.20201850412542	1.39700826188283	1.15910212005958	1.45676348801245	1.38782764096465	2.10451108003513	1.81504288378881	1.93693691556092	2.004333104938
"chr20_54157169_54171670_-"	1.12541293661903	1.50196899975816	1.80470897905892	3.43870081363003	3.32876765598756	3.04748728643485	3.09336640727073	2.16924987773269	2.5406577309916	1.41386104519298	1.42977058203776	1.15039547985876	1.40397116494611	0.714747524971491	0.310006608913649	1.30115981341293	1.06359617879381	0.866107633950051	0.149320060607288	2.0271393413044	1.96559036350028	1.3799393478152	2.06387310578451	1.03192449534837	1.82514098987974	3.59686807016883	3.03603871747288	2.53188915666276	1.6652082245313	1.573863556101	0.738056159558996	1.15601298358052	0.976857777836422	0.971028137051387	1.23755558212444	1.07932908190294	1.63377766152084	0.669517646053544	0.892810125690837	0.277887900221279	0	0	0	0	1.85155884119452	1.00738442783149	0.39978699653347	1.66359771525318	1.93566214684272	1.59049783853748	1.84324781600912	1.83055251537917	0.793158725043261	0.691615443799066	1.53150194252906	1.09859505585198	1.19387461610281	1.25354745693611	0.528329376543713	0.677983222788774
"chr21_15014344_15043574_-"	0	1.22145538301689	1.29092065305472	1.46458045630045	1.39463129175097	1.51045760314156	1.13118497498519	1.18155831247737	0.609653169822707	1.26766768311573	1.34873262859159	1.19364037374548	1.81101614866129	1.37956550998361	1.10709086239255	1.48166902118007	1.39040321706434	0	0.732571176482105	0.847969520532312	0.460482081960516	0.664445349316407	0.579646904783196	1.55959732995041	0.685030445747198	1.34949788595929	1.35581988207243	1.03664306026868	1.16427527082707	1.29024810842976	1.29590382203828	1.08076973122285	1.50022772395273	0.713247586948667	1.38680466384107	1.32462101416307	1.3301208768105	1.14925147265942	1.13599157533135	0.420142160060707	0.993605733293611	0.66250092030117	0.198550875226045	0.649677921580284	0.730196362990738	0.750323855581714	0.546265950579098	0.509598912807915	0.615011201258907	0.994241113377052	1.5845469125147	1.65860968209134	1.48420736801228	1.18770304408848	0.674614242420422	0.209542234370987	0.68753758964552	0.926509907751605	1.39684578800883	1.20639734250656
"chr21_15762891_15766141_+"	0	1.21804552156751	1.13799847473279	1.1456155316047	1.26718249585015	1.36605471236309	1.43654599589247	0.869318847183312	0.743617821634224	1.28785614026694	1.06907608920658	1.09092597076289	1.44791313534981	1.79932077353339	1.05390384626078	1.15155786612101	1.51958138366826	0	0.943367810683542	0.44931341968129	1.2549347185557	0.978567526654413	0.521440339520565	1.08649087783806	0.993733431360633	1.68551038064267	1.28441087843131	1.57941824073685	0.989541012894444	1.16606669323415	1.67046902175491	1.42532934468387	1.06350294349095	1.41626793269543	0.9989600126307	1.37988542759461	1.23874140639991	1.16441697665037	1.31348977070477	0.547448003087755	0.918174026045292	0.979001008307554	0.651808736086693	0.777836996365527	1.27478055075637	0.696574970270771	1.20266984058903	1.55169604458042	1.28519436329301	1.12850371467538	1.642477734395	1.35965723991155	1.0529836987797	1.40557102161799	1.1471768328987	0.998770330397559	0.936410669394441	0.658631362722845	1.61747755137784	0.978790632223729
"chr1_224952670_225007544_+"	1.3673028586073	0.956406152352945	1.22671268194634	0.955110795565053	0.977041396792741	1.27709783641909	1.61958286366702	1.28096903113198	1.22952738447243	1.07125599197348	1.11395744803262	0.702604564572853	0.904739481288786	1.37826345714563	1.14003292447019	0.435275604718497	0.976065183874773	0	1.03538912014303	1.15782305151179	1.28530332289683	0.608301952104687	0.81252800600474	1.46838205382604	1.03165812546187	1.79221879305435	1.54916284769381	1.53209123917108	1.11470683992389	1.28094648641568	0.980051002906766	1.53567040550065	1.39572049152196	0.97853662274832	1.33339449058127	1.34484404725892	1.02517195908199	1.22704735030319	1.11995360986089	1.3300090795861	0	0.51474026424334	0.477110097469646	0.825319958283467	0.919924630024989	0.79911089112455	0.982745979704335	1.39490944452961	1.16476792780665	0.924524505673082	1.1729414799711	1.31965898086692	0.838796868986359	1.09483843533854	0.699340836281717	1.09773905903687	0.995365364399798	0.762712828996462	0.943693849488682	1.23711333840345
"chr1_224952670_224974153_+"	1.38160717457244	0.529903263674827	1.30939480518908	1.05148658145361	1.17596274486654	1.33902059625377	1.71710937830818	1.41065515239246	1.31493065059231	1.06071927499087	1.02583223922894	0.755436051017461	1.07682899726036	1.29018916771258	1.40431921378343	0.911591338496391	1.57873732570025	0	0.897653936450158	1.09927287258618	1.13938893933759	0.806658931630609	0.76979310257613	1.47636281759213	1.1232399463513	1.73765784439528	1.41934725559502	1.66645908115286	1.03896301709347	1.36003577110892	1.08165199602201	1.52618603393934	1.27016531112265	1.35090673708334	1.50811630476695	1.24280712022993	1.03761422623138	1.07981441403653	1.24547215654627	1.26003467418444	0	0.334855639619269	0.360530250996646	1.17720029016867	1.20405591393292	0.750323855581714	1.18779409901861	1.52382453751095	1.09874591207593	1.15707074788358	1.21801104698138	1.22376516021203	1.00689933800523	1.29760029246409	0.907953180276704	1.0890516722109	1.12523236586033	1.07802559241158	0.969695423739796	1.17702798903564
